Body_value,CA-value,Cheeks-value,Eye_Ap-value,Eyebrows-value,Eyegaze-value,Head-value
LEAN,null,cheek movement,WD,null,+camera > UpDn,PUSH > TILT
LEAN,null,null,null,null,UpDn,TILT
null,null,null,//,eyebrow movement,+camera,TURN
LEAN,CA,null,// > WD,eyebrow movement,side & UpDn,TURN & TILT
LEAN,null,null,WD,null,+camera,TURN
null,null,null,WD,eyebrow movement,side & UpDn > +camera > side & UpDn,TURN
null,null,null,WD,eyebrow movement,side & UpDn,TURN
TWIST,null,cheek movement,WD,eyebrow movement,side & UpDn,TURN
TWIST,null,cheek movement,WD,eyebrow movement,side & UpDn,TILT
TWIST,null,cheek movement,WD,null,side & UpDn,TURN
TWIST,null,null,WD,eyebrow movement,+camera,TURN
TWIST,CA,null,WD,eyebrow movement,side,TURN
LEAN,CA,null,WD,eyebrow movement,side > +camera,TURN
LEAN,null,cheek movement,//,eyebrow movement,side > +camera,TURN > PUSH
LEAN,null,null,SQ,eyebrow movement,+camera,TURN
TWIST,null,null,SQ,eyebrow movement,side,TURN
TWIST,null,null,SQ,eyebrow movement,side,TURN
TWIST,null,null,null,null,+camera,TURN
LEAN,null,null,WD,eyebrow movement,+hands > +camera,TURN & TILT
LEAN,null,null,WD,eyebrow movement,+camera,TILT
LEAN,null,null,SQ,eyebrow movement,side & UpDn > +camera,TILT
LEAN,null,null,SQ,eyebrow movement,+hands,null
LEAN,null,null,SQ,eyebrow movement,+hands,null
LEAN,CA,null,SQ,eyebrow movement,+nd,TILT
LEAN,null,null,null,eyebrow movement,+dh > side & UpDn,TILT
LEAN,CA,null,null,eyebrow movement,side & UpDn,TILT & PUSH
LEAN,CD,null,null,eyebrow movement,side > +camera > UpDn,PUSH & TURN
LEAN,CD,null,SQ,eyebrow movement,UpDn > side,TILT
LEAN,null,null,SQ,eyebrow movement,side > UpDn,TILT
LEAN,null,null,null,eyebrow movement,+camera,TILT > PUSH
null,null,null,WD,eyebrow movement,+camera,TILT
null,null,null,WD,eyebrow movement,+camera,TILT
null,null,null,WD,eyebrow movement,+camera,TILT
null,null,null,WD,eyebrow movement,+dh > +camera,TILT
LEAN,CA,null,SQ,eyebrow movement,+camera,TILT
null,null,null,SQ,eyebrow movement,+camera,TILT
TWIST,CD,null,SQ > WD,eyebrow movement,side & UpDn > +camera,TURN
TWIST,CA,null,WD,eyebrow movement,+camera,TURN
TWIST,CA,null,SQ,eyebrow movement,side & UpDn,TURN
TWIST,CA,null,SQ,eyebrow movement,side & UpDn,TURN
