Body_value,CA-value,Cheeks-value,Eye_Ap-value,Eyebrows-value,Eyegaze-value,Head-value
null,CA,null,null,eyebrow movement,side,TURN
null,CA,null,null,eyebrow movement,side,Headnod
null,null,null,//,null,side & UpDn,null
null,null,null,null,null,side & UpDn,null
LEAN,null,null,//,null,side & UpDn,null
LEAN,null,null,//,eyebrow movement,side,Headnod
LEAN,null,null,null,eyebrow movement,side,Headnod
LEAN,null,null,//,null,side,Headnod
LEAN,null,null,//,null,UpDn > side & UpDn,TILT > TURN
LEAN,CA,null,null,null,side & UpDn,TURN
LEAN,CA,null,null,null,side & UpDn,TURN
LEAN,CA,null,null,null,side & UpDn > side,TURN
TWIST,CA,null,WD,eyebrow movement,side,TURN
null,CA,null,WD > //,eyebrow movement,side,TURN
null,null,null,WD,eyebrow movement,side,TURN
null,null,null,WD,eyebrow movement,side,null
null,null,null,WD,eyebrow movement,side,null
null,null,null,//,eyebrow movement,side,TURN
TWIST,CA,null,null,null,side,TURN
TWIST,CA,null,//,null,side,TURN
TWIST,null,null,null,null,side & UpDn,TURN > TILT
TWIST,null,null,//,null,UpDn,TILT
null,null,null,null,null,side & UpDn,TURN
LEAN,null,null,null,null,side & UpDn,TURN
LEAN,null,null,null,null,side & UpDn,TURN
LEAN,null,null,//,null,side & UpDn,TURN
LEAN,null,null,//,null,side & UpDn > side,TURN
null,null,null,null,eyebrow movement,side,TURN > TILT
SHOULDERS,CA,null,//,eyebrow movement,side,TILT
SHOULDERS,CA,null,CLOSED,eyebrow movement,side,TILT
SHOULDERLEAN,CA,null,CLOSED,eyebrow movement,null,TILT > TURN
LEAN,CA,null,null,null,side,TURN
LEAN,CA,null,null,eyebrow movement,side,TURN
LEAN,null,null,//,eyebrow movement,side,Headnod
LEAN,null,null,//,eyebrow movement,side,TURN
LEAN,null,null,null,eyebrow movement,side,TURN
LEAN,null,null,null,eyebrow movement,side,TURN
LEAN,CA,null,//,null,side,TURN
LEAN,CA,null,WD,eyebrow movement,side,TURN
null,null,null,WD,eyebrow movement,side & UpDn,null
LEAN,null,null,WD,eyebrow movement,side & UpDn,null
LEAN,null,null,null,null,side & UpDn,null
LEAN,null,null,null,null,side & UpDn,null
LEAN,null,null,null,null,side & UpDn,null
LEAN,null,null,null,null,side & UpDn,null
LEAN,null,null,null,null,side & UpDn,null
LEAN,null,null,SQ > //,eyebrow movement,side & UpDn > +nd,TURN
null,null,null,//,null,side,TURN > TILT
null,null,null,null,null,side,TILT
LEAN,CA,null,WD,eyebrow movement,side,TILT
LEAN,CA,null,WD > //,eyebrow movement,side,TURN
null,null,null,//,null,side & UpDn,TURN
null,null,null,null,null,side,TURN
null,null,null,null,eyebrow movement,side,PUSH
null,null,null,null,eyebrow movement,side,PUSH
TWIST,null,null,WD,eyebrow movement,side & UpDn,PUSH
TWIST,CA,null,WD > //,eyebrow movement,side & UpDn > side,TILT
null,null,null,WD,eyebrow movement,side,TILT
null,null,null,WD,eyebrow movement,side,TILT
null,null,null,WD,eyebrow movement,side,TILT
LEAN,null,null,WD,eyebrow movement,side,TILT
LEAN,CA,null,WD,eyebrow movement,side,TURN
LEAN,null,null,//,eyebrow movement,side,Headnod
LEAN,null,null,null,eyebrow movement,side,TILT
LEAN,null,null,null,eyebrow movement,side,TILT
LEAN,null,null,null,null,side,TILT
null,null,null,//,null,side,null
null,null,null,//,null,side,null
null,null,null,null,null,side,TURN
null,null,null,//,null,side,TURN
null,null,null,null,eyebrow movement,null,null
null,null,null,null,eyebrow movement,null,TURN
null,null,null,null,eyebrow movement,null,TURN
null,null,null,null,eyebrow movement,UpDn,TURN
null,null,null,null,eyebrow movement,UpDn,TILT
null,null,null,null,eyebrow movement,side,TURN
null,null,null,null,eyebrow movement,side & UpDn,TILT
null,null,null,null,eyebrow movement,side & UpDn,TILT
null,null,null,null,eyebrow movement,side & UpDn > side,TILT
null,null,null,null,eyebrow movement,side,TILT
null,null,null,null,eyebrow movement,+hands,TILT
null,null,null,null,eyebrow movement,UpDn > side,TILT
null,null,null,null,eyebrow movement,side,Headshake
null,null,null,null,eyebrow movement,side,null
null,null,null,null,null,side,TURN
null,null,null,null,null,side,TURN
null,null,null,null,null,side,TILT
null,null,null,null,null,side,TURN
null,null,null,null,null,side,TURN
LEAN,null,null,SQ,eyebrow movement,side,PUSH
LEAN,null,null,SQ,eyebrow movement,side,PUSH
LEAN,CA,null,SQ,eyebrow movement,side,TILT > Headnod
null,null,null,null,null,side,null
null,null,null,null,eyebrow movement,side,null
null,null,null,null,eyebrow movement,side,null
null,null,null,null,eyebrow movement,UpDn,TILT
null,null,null,null,eyebrow movement,UpDn,TILT
null,null,null,//,eyebrow movement,side,TURN
null,null,null,//,eyebrow movement,side > +camera,TURN
null,null,null,null,null,+camera > side & UpDn,null
null,null,null,//,null,side & UpDn,TILT
null,null,null,null,eyebrow movement,UpDn,Headshake
null,null,null,null,eyebrow movement,UpDn,TILT
null,null,null,null,eyebrow movement,UpDn > side & UpDn,TILT > TURN
LEAN,null,null,null,eyebrow movement,side & UpDn,TILT
LEAN,null,null,null,eyebrow movement,UpDn,TILT
LEAN,null,null,null,eyebrow movement,UpDn,TILT
LEAN,null,null,null,eyebrow movement,UpDn > side,TURN
LEAN,null,null,null,eyebrow movement,side,TURN
LEAN,null,null,//,eyebrow movement,side > UpDn,TURN
null,null,null,//,eyebrow movement,UpDn,TILT
null,null,null,null,null,UpDn,TILT
null,null,null,null,null,null,null
null,null,null,null,null,null,TILT
null,null,null,null,null,null,TILT
null,null,null,null,null,null,TILT
null,null,null,null,null,null,TILT
null,null,null,null,null,side,null
null,null,null,null,eyebrow movement,side,PUSH
null,CD,null,null,eyebrow movement,side,PUSH
null,CD,null,null,eyebrow movement,side,TURN
null,CD,null,null,eyebrow movement,side,TURN
null,CD,null,null,eyebrow movement,side,TILT
null,CD,null,null,eyebrow movement,side & UpDn,TILT
null,CD,null,null,eyebrow movement,side & UpDn,TILT
null,CD,null,null,eyebrow movement,side & UpDn,TILT
null,CD,null,null,eyebrow movement,side & UpDn,TILT
null,CD,null,null,eyebrow movement,side & UpDn,TILT
null,CD,null,null,eyebrow movement,side & UpDn,TILT
null,CD,null,null,eyebrow movement,side & UpDn,TILT
null,CD,null,null,eyebrow movement,side & UpDn,PUSH
null,CD,null,null,eyebrow movement,side & UpDn,PUSH
null,CD,null,null,eyebrow movement,side & UpDn,PUSH
LEAN,CD,null,null,eyebrow movement,side & UpDn,null
LEAN,CD,null,null,eyebrow movement,side & UpDn,PUSH
LEAN,CD,null,null,eyebrow movement,side & UpDn,PUSH
LEAN,CD,null,null,eyebrow movement,side & UpDn,PUSH
SHOULDERS,CD,null,null,eyebrow movement,side & UpDn,PUSH
SHOULDERS,CA,null,null,eyebrow movement,side & UpDn,PUSH
SHOULDERS,CA,null,null,eyebrow movement,side & UpDn > side,PUSH
null,CA,null,null,eyebrow movement,side,null
null,CA,null,null,eyebrow movement,side & UpDn,TURN > TILT
null,CA,null,null,eyebrow movement,UpDn,TILT
null,CA,null,null,eyebrow movement,UpDn,TILT
null,CA,null,null,eyebrow movement,UpDn,TILT
null,CD,null,null,eyebrow movement,side,null
null,CD,null,null,eyebrow movement,side,null
null,CD,null,null,eyebrow movement,side > UpDn,TILT
null,CD,null,null,eyebrow movement,side,TILT
null,CD,null,null,eyebrow movement,side,null
null,CD,null,null,eyebrow movement,side,Headnod
null,CD,null,null,eyebrow movement,side,Headnod
null,CD,null,null,eyebrow movement,side,Headnod
null,CD,null,null,eyebrow movement,side,Headnod
null,CD,null,null,eyebrow movement,side > UpDn,Headnod
null,CD,null,null,eyebrow movement,side,PUSH
null,CD,null,null,eyebrow movement,side,PUSH > TILT
null,CD,null,null,eyebrow movement,side,TILT
null,CD,null,null,eyebrow movement,side,TILT
null,null,null,null,eyebrow movement,side,null
null,null,null,null,eyebrow movement,side,TILT
null,null,null,null,eyebrow movement,UpDn,TILT
null,null,null,null,eyebrow movement,UpDn,TILT
null,null,null,null,eyebrow movement,UpDn,TILT
null,null,null,null,eyebrow movement,UpDn,TILT
null,null,null,null,eyebrow movement,UpDn,TILT > TURN
null,CD,null,null,eyebrow movement,UpDn,TURN
null,CD,null,null,eyebrow movement,UpDn,TURN > PUSH
null,CD,null,null,eyebrow movement,UpDn,PUSH
null,CD,null,null,eyebrow movement,side & UpDn,TURN
null,CD,null,null,eyebrow movement,side & UpDn > side,TURN > TILT
null,CD,null,null,eyebrow movement,side,Headshake
null,CD,null,null,eyebrow movement,side,TILT
null,null,null,WD,eyebrow movement,side,TILT
null,null,null,WD,eyebrow movement,side,TURN > Headnod
null,null,null,null,null,side & UpDn,Headnod
null,null,null,null,null,side & UpDn,Headnod
null,null,null,null,null,side & UpDn,TURN
null,null,null,null,null,side & UpDn,TILT
null,null,null,null,null,UpDn,Headnod
null,CA,null,null,null,side & UpDn,TURN
null,CA,null,null,null,side & UpDn,TURN
null,CA,null,null,null,side & UpDn,TURN
null,CA,null,null,null,side & UpDn,TURN
null,CA,null,null,null,side & UpDn,null
LEAN,CA,null,null,null,UpDn,null
LEAN,CA,null,null,null,UpDn,null
LEAN,CA,null,null,null,UpDn,TILT
LEAN,CA,null,null,null,UpDn,TILT
LEAN,CA,null,null,null,UpDn,TILT
LEAN,CA,null,null,null,UpDn,TILT
null,CA,null,null,null,side & UpDn,TURN > TILT
null,null,null,null,null,side & UpDn,TILT
LEAN,null,null,null,null,side & UpDn,TILT
LEAN,CA,null,null,null,side & UpDn,TILT
LEAN,CA,null,null,null,side & UpDn,TILT
TWIST,CA,null,null,null,side & UpDn,TILT
LEAN,null,null,null,null,side,TURN
LEAN,null,null,null,null,+hands,TURN
LEAN,null,null,null,null,side,TURN
LEAN,null,null,null,eyebrow movement,UpDn,TURN
LEAN,null,null,null,eyebrow movement,+hands,null
LEAN,null,null,null,eyebrow movement,+hands,null
LEAN,null,null,null,eyebrow movement,+camera,null
LEAN,null,null,null,eyebrow movement,+camera,null
null,null,null,null,eyebrow movement,+camera > side & UpDn,TILT
LEAN,null,null,null,null,side & UpDn,TURN > TILT
null,null,null,null,null,side & UpDn,TURN
null,null,null,null,null,side & UpDn > side,TURN
null,CA,null,null,eyebrow movement,side,TILT
null,null,null,null,eyebrow movement,side,TILT > TURN
null,null,null,null,eyebrow movement,side,TURN
null,null,null,null,eyebrow movement,side,TURN
null,CA,null,null,eyebrow movement,side,TURN
null,null,null,null,eyebrow movement,side,TURN
null,CD,null,null,eyebrow movement,side,null
null,CD,null,null,eyebrow movement,side,null
null,CD,null,null,eyebrow movement,side & UpDn,TILT
null,CD,null,null,eyebrow movement,side & UpDn,TILT
null,CD,null,null,eyebrow movement,side & UpDn,TILT
null,CD,null,null,eyebrow movement,side & UpDn,TILT
null,null,null,null,eyebrow movement,side & UpDn,TILT
null,null,null,null,eyebrow movement,side & UpDn,TILT
null,null,null,null,eyebrow movement,side & UpDn > side,TILT
null,null,null,//,eyebrow movement,side,Headnod
null,null,null,null,eyebrow movement,null,null
null,null,null,null,eyebrow movement,side,null
null,null,null,null,eyebrow movement,side,TURN
null,null,null,null,eyebrow movement,side,TURN
null,null,null,null,eyebrow movement,side,TURN
null,null,null,null,eyebrow movement,side,TURN
null,null,null,null,eyebrow movement,side,TURN
null,null,null,null,eyebrow movement,side,TURN
LEAN,CA,null,null,eyebrow movement,side,TURN > PUSH
LEAN,CA,cheek movement,null,eyebrow movement,side & UpDn,PUSH > TILT
null,CA,null,null,eyebrow movement,side & UpDn,TILT
null,CA,null,null,eyebrow movement,side & UpDn > side,TILT
null,CA,null,null,eyebrow movement,side,TILT
LEAN,CA,null,SQ,eyebrow movement,side,null
LEAN,null,null,SQ,eyebrow movement,side,TILT
LEAN,null,null,SQ,eyebrow movement,side,TILT > TURN
LEAN,null,null,SQ,eyebrow movement,side,TURN > Headnod
null,null,null,null,null,side,Headnod
null,null,null,null,null,side,Headnod
null,null,null,null,eyebrow movement,side,TURN
null,null,null,null,eyebrow movement,side & UpDn,TURN
null,CA,null,SQ,eyebrow movement,side & UpDn,TILT
null,null,null,SQ,eyebrow movement,side,TILT
LEAN,null,null,SQ,eyebrow movement,side & UpDn,PUSH
LEAN,CA,null,SQ,eyebrow movement,side & UpDn,PUSH
LEAN,CA,null,SQ,eyebrow movement,side & UpDn,PUSH
LEAN,CA,null,SQ,eyebrow movement,side & UpDn,PUSH
null,CA,null,SQ,eyebrow movement,side & UpDn,TURN
null,CA,null,SQ,eyebrow movement,side & UpDn > side,TURN
LEAN,CA,null,null,eyebrow movement,side,TILT
LEAN,CA,null,null,eyebrow movement,side,TILT
LEAN,CA,null,null,eyebrow movement,side,TILT
LEAN,CA,null,null,eyebrow movement,side,TURN
LEAN,CA,null,null,eyebrow movement,side,null
LEAN,CA,null,null,eyebrow movement,side,TILT
null,CA,null,null,eyebrow movement,side & UpDn,TILT
null,CA,null,null,eyebrow movement,+hands > side,TILT > TURN
null,CA,null,null,eyebrow movement,side,TURN
null,CA,null,null,eyebrow movement,side,TURN
null,CA,null,null,eyebrow movement,side,Headshake
null,CA,null,null,eyebrow movement,+hands,TILT
null,CA,null,null,eyebrow movement,+nd > side & UpDn,TILT
LEAN,CA,null,null,eyebrow movement,side & UpDn,TILT
LEAN,CA,null,SQ,eyebrow movement,side & UpDn,TILT
LEAN,CA,null,SQ,eyebrow movement,null,null
null,null,null,SQ,eyebrow movement,null,TILT
null,null,null,null,eyebrow movement,+camera,TILT
null,null,null,null,eyebrow movement,+camera,TILT
null,null,null,null,eyebrow movement,+camera,TILT
null,null,null,null,eyebrow movement,side & UpDn,TILT
null,null,null,null,eyebrow movement,side & UpDn,TILT
null,null,null,null,eyebrow movement,side & UpDn > +camera,TILT
null,null,null,WD,eyebrow movement,+camera > side,TILT
null,CA,null,WD,eyebrow movement,side,PUSH
null,CA,null,WD,eyebrow movement,side,PUSH
null,null,null,null,eyebrow movement,side,TILT
null,CA,null,null,eyebrow movement,side,Headshake
null,CA,null,null,eyebrow movement,side,Headshake
null,null,null,null,eyebrow movement,side,Headnod
null,CA,null,null,eyebrow movement,side,Headnod
null,CA,null,null,eyebrow movement,side,TURN
null,CA,null,null,eyebrow movement,side,TURN
null,CA,null,null,eyebrow movement,side,TURN > TILT
null,CA,null,null,eyebrow movement,side,TURN
null,CA,null,null,eyebrow movement,side,TURN
null,null,null,null,eyebrow movement,side,TURN
null,null,null,null,eyebrow movement,side,TURN > TILT
null,CA,null,null,eyebrow movement,UpDn,TILT
null,CA,null,null,eyebrow movement,UpDn > side,TILT > TURN
LEAN,CA,null,null,eyebrow movement,side,TURN
LEAN,CA,null,null,eyebrow movement,side,TURN
LEAN,null,null,null,eyebrow movement,side,null
LEAN,null,null,null,eyebrow movement,side,null
LEAN,null,null,null,eyebrow movement,side,null
LEAN,null,null,null,eyebrow movement,side,null
LEAN,null,null,null,null,side,null
LEAN,null,null,null,eyebrow movement,side,null
LEAN,null,null,null,eyebrow movement,side & UpDn,null
LEAN,null,null,null,eyebrow movement,side & UpDn,TILT
LEAN,CA,null,null,eyebrow movement,side & UpDn,TILT > TURN
null,null,null,null,eyebrow movement,side & UpDn,TURN
LEAN,CD,null,null,eyebrow movement,side & UpDn,PUSH
LEAN,CD,null,null,eyebrow movement,side & UpDn,PUSH
LEAN,CA,null,null,eyebrow movement,side & UpDn,PUSH
LEAN,CA,null,null,eyebrow movement,side & UpDn,PUSH
null,CA,null,null,eyebrow movement,side & UpDn,PUSH
null,null,null,null,eyebrow movement,side,TURN
null,CA,null,null,null,side,TURN
null,CA,null,null,null,side,TURN
LEAN,CA,null,null,null,side,TURN
LEAN,CA,null,null,null,side,TURN
LEAN,CA,null,null,null,side,TURN
LEAN,CA,null,null,null,side,TURN
null,CA,null,null,null,side,TURN
null,CA,null,null,null,side,TURN
null,CA,null,null,null,side,TURN
null,CA,null,null,null,side,TURN
null,null,null,null,null,side,TURN
null,CA,null,null,null,side,TURN
LEAN,CA,null,null,null,side,TURN
LEAN,null,null,null,null,side,TURN
LEAN,null,null,null,null,side,TURN
LEAN,null,null,null,null,side,TURN
LEAN,null,null,null,null,side,TURN
LEAN,CA,null,null,null,side,TURN > PUSH
LEAN,null,null,//,null,side,TURN
null,CA,null,//,eyebrow movement,side > UpDn > side,TURN
LEAN,null,null,null,eyebrow movement,side,TURN
LEAN,null,null,null,eyebrow movement,side,TURN
null,CA,null,null,eyebrow movement,side,null
null,CA,null,//,null,+camera > side,TILT
null,CA,null,//,null,side > +camera,Headshake
null,null,null,null,null,+camera > side,null
null,CA,null,null,null,side & UpDn > +camera > side,null
LEAN,null,null,SQ,eyebrow movement,side,null
LEAN,CA,null,SQ,eyebrow movement,side,TURN
TWIST,CA,null,null,eyebrow movement,side & UpDn > +camera > side & UpDn,TILT
null,CA,null,null,null,side > +camera,null
null,null,null,WD,eyebrow movement,side,TURN
null,null,null,WD,eyebrow movement,side,TURN
LEAN,CA,null,WD,eyebrow movement,+camera > side > +camera,TURN
LEAN,CA,null,WD,eyebrow movement,+camera > UpDn > side,TILT
null,CA,null,WD,eyebrow movement,side,null
null,CA,null,WD,eyebrow movement,side,TURN
null,CA,null,WD,eyebrow movement,side,TURN
LEAN,CA,null,WD,eyebrow movement,side,TURN
LEAN,CA,null,WD,eyebrow movement,side,TURN
LEAN,CA,null,WD,eyebrow movement,side,TURN
null,CA,null,WD,eyebrow movement,+camera,TURN
null,CA,null,WD,eyebrow movement,side,TURN
null,CA,null,WD,eyebrow movement,side,TURN
null,CA,null,WD,null,UpDn,TILT
null,CA,null,WD,null,UpDn,TILT
null,CA,null,WD,null,UpDn,TILT
null,CA,null,WD,null,side,null
null,CA,null,WD,null,side > +camera,null
null,CA,null,WD,null,+camera,null
LEAN,null,null,//,null,null,null
null,null,null,SQ,eyebrow movement,null,TILT
null,null,null,SQ,eyebrow movement,side & UpDn,TILT
null,null,null,// > SQ,eyebrow movement,side & UpDn,TILT
null,null,null,SQ > //,eyebrow movement,side & UpDn,TURN > Headnod
null,null,null,SQ,eyebrow movement,side > +interlocutor1,Headnod > TURN
null,null,null,SQ,eyebrow movement,+interlocutor1,TURN
null,null,null,SQ,eyebrow movement,+interlocutor1,TURN
LEAN,CA,null,// > SQ,eyebrow movement,UpDn > side,TILT > PUSH
LEAN,null,null,SQ > //,eyebrow movement,+interlocutor1 > +hands,TILT
LEAN,null,null,SQ,eyebrow movement,UpDn > +interlocutor1 > UpDn,PUSH > TURN
null,null,null,//,eyebrow movement,UpDn,TURN
null,null,null,//,eyebrow movement,null,TURN
null,null,null,//,eyebrow movement,+interlocutor1,null
null,null,null,WD,eyebrow movement,+interlocutor1,TILT
null,null,null,WD > //,eyebrow movement,+interlocutor1,Headnod
null,null,null,//,eyebrow movement,null,Headnod
null,null,null,null,eyebrow movement,+interlocutor1,null
null,null,null,SQ,eyebrow movement,+interlocutor1,TURN
null,null,cheek movement,SQ,eyebrow movement,UpDn > +interlocutor1,TURN > Headnod
null,null,null,CLOSED,eyebrow movement,null,Headnod
null,null,null,null,eyebrow movement,null,null
SHOULDERLEAN,null,null,SQ > // > SQ,eyebrow movement,side > +hands,TURN > TILT
LEAN,null,null,null,eyebrow movement,+interlocutor1,TURN
LEAN,null,null,CLOSED,eyebrow movement,+interlocutor1,TURN
SHOULDERS,null,null,// > SQ,eyebrow movement,+interlocutor1,null
SHOULDERS,null,null,SQ,eyebrow movement,null,TILT
SHOULDERS,null,null,SQ,eyebrow movement,+interlocutor1,TURN
SHOULDERS,null,null,SQ,eyebrow movement,+interlocutor1,TURN
SHOULDERS,null,null,SQ > //,eyebrow movement,+interlocutor1,TURN
SHOULDERS,null,null,// > SQ,eyebrow movement,+hands,TURN > PUSH
LEAN,null,null,WD > //,eyebrow movement,+interlocutor1 > +dh,TURN > TILT
null,null,null,SQ,eyebrow movement,+interlocutor1,PUSH
null,null,null,SQ,eyebrow movement,side & UpDn,TURN
TWIST,null,null,SQ,eyebrow movement,side > +interlocutor1,TURN > TILT
LEAN,null,null,SQ > //,eyebrow movement,+interlocutor1,TILT
SHOULDERS,null,null,SQ,eyebrow movement,+interlocutor1,TILT
SHOULDERS,null,null,//,eyebrow movement,+interlocutor1,TILT
SHOULDERS,null,null,//,eyebrow movement,+nd,TILT
SHOULDERS,null,null,//,null,+nd > +interlocutor1,TILT
SHOULDERS,null,null,null,null,+interlocutor1,null
SHOULDERS,null,cheek movement,null,null,+hands > +interlocutor1,null
SHOULDERS,null,null,//,null,+interlocutor1 > UpDn,TILT
SHOULDERTWIST,null,cheek movement,null,eyebrow movement,+interlocutor1 > +nd > +interlocutor1,TILT
SHOULDERS,null,cheek movement,null,eyebrow movement,+interlocutor1,TILT
SHOULDERLEAN,null,cheek movement,null,eyebrow movement,side & UpDn > +interlocutor1,TILT
LEAN,null,null,//,eyebrow movement,+interlocutor1,TILT
LEAN,null,null,//,eyebrow movement,side > +interlocutor1,null
null,null,null,//,null,+interlocutor1,null
null,null,null,null,null,+interlocutor1,null
TWIST,null,cheek movement,null,null,+interlocutor1 > +nd,TILT
TWIST,null,cheek movement,null,null,+nd > +interlocutor1,TILT
null,null,null,//,eyebrow movement,side,TILT
null,CA,null,SQ > CLOSED,eyebrow movement,side,TILT > TURN
LEAN,CA,cheek movement,CLOSED > //,eyebrow movement,side > UpDn,TILT > TURN > Headshake
SHOULDERS,CA,null,WD,null,UpDn > +interlocutor1,TILT > TURN
SHOULDERS,null,null,WD > SQ,null,+interlocutor1 > side,TURN
SHOULDERS,CA,null,SQ > // > SQ,null,side > +nd,TURN > TILT
SHOULDERS,null,null,SQ > //,null,+nd,TILT
SHOULDERS,null,null,//,null,null,TILT
SHOULDERS,null,null,//,null,UpDn,TILT
SHOULDERS,null,null,null,null,UpDn,TILT
SHOULDERS,null,null,null,null,UpDn,TILT
SHOULDERLEAN,null,null,SQ,eyebrow movement,UpDn > +interlocutor1,TILT > TURN
SHOULDERS,null,null,SQ > //,eyebrow movement,+interlocutor1,TURN
null,null,null,//,null,null,TURN
null,null,null,//,null,UpDn,Headnod
null,null,null,null,eyebrow movement,UpDn,null
null,null,null,//,eyebrow movement,+interlocutor1,null
LEAN,null,cheek movement,//,eyebrow movement,+interlocutor1,TURN
LEAN,null,null,null,null,+interlocutor1,TURN
LEAN,null,cheek movement,SQ > //,eyebrow movement,side,TURN & Headnod
null,null,null,//,eyebrow movement,+interlocutor1,Headnod
null,null,null,WD,eyebrow movement,+interlocutor1,TILT
TWIST,null,null,WD > //,eyebrow movement,side,TILT & TURN
TWIST,CA,null,//,eyebrow movement,side,TURN
LEAN,CA,null,//,eyebrow movement,+hands,TILT
LEAN,null,null,null,eyebrow movement,+interlocutor1,TURN
null,null,null,null,null,+interlocutor1,TURN
null,null,null,null,null,side,TURN
null,null,null,null,null,side,PUSH
null,null,null,null,null,side,PUSH
null,null,null,null,null,side,PUSH
null,null,cheek movement,null,null,side > +interlocutor1,PUSH > TURN
null,null,cheek movement,null,null,+interlocutor1,TURN
null,null,null,//,null,+interlocutor1,TURN > Headnod
null,null,null,//,null,null,Headnod
null,CA,null,//,null,+hands,TILT
null,CA,null,//,null,side > UpDn > side,TURN > Headnod > TILT > TURN
null,null,null,CLOSED,null,side,TILT
null,null,null,//,eyebrow movement,side,Headnod
null,null,null,//,null,side,Headnod
null,null,null,null,null,side,TURN
LEAN,null,null,//,null,side,TURN
LEAN,null,null,//,null,+interlocutor1,TURN
LEAN,CA,null,null,eyebrow movement,+interlocutor1,TURN
LEAN,null,null,//,eyebrow movement,side > +interlocutor1,TURN
LEAN,null,null,//,null,+interlocutor1 > side,Headnod > TILT
LEAN,null,null,//,null,side,TILT
TWIST,null,null,//,null,side,TILT
null,null,null,//,null,+interlocutor1 > side & UpDn,TILT
null,null,null,//,null,side & UpDn,TILT
null,null,null,null,null,side & UpDn > +interlocutor1,TURN
null,null,null,null,null,+interlocutor1,null
null,null,null,null,null,+interlocutor1,TURN
null,null,null,null,null,+interlocutor1,TURN & TILT
null,null,null,null,null,+interlocutor1,TILT
null,null,null,null,null,+interlocutor1,TILT
null,null,null,null,null,+interlocutor1,Headnod
null,null,null,null,null,+interlocutor1,Headnod
TWIST,null,null,SQ,eyebrow movement,+interlocutor1,TILT
LEANTWIST,null,cheek movement,SQ,eyebrow movement,+interlocutor1,TILT
LEAN,null,cheek movement,SQ > //,eyebrow movement,+interlocutor1,TILT
null,null,null,null,eyebrow movement,+interlocutor1,TILT
null,null,null,SQ,eyebrow movement,+interlocutor1,null
null,null,null,SQ,eyebrow movement,+interlocutor1,null
null,null,null,SQ,eyebrow movement,+interlocutor1,null
null,null,null,SQ,null,+interlocutor1,TILT
null,null,null,null,null,+interlocutor1,TILT
null,null,null,CLOSED,null,+interlocutor1,TILT
null,CA,null,CLOSED,null,side,TURN
TWIST,null,null,//,null,side,TURN
TWIST,null,null,// > CLOSED > //,eyebrow movement,side,TURN > TILT
null,null,null,//,eyebrow movement,side,TILT & TURN
null,null,null,null,eyebrow movement,side,TURN
null,null,null,null,eyebrow movement,side,TURN
null,CA,null,null,eyebrow movement,side,TURN
null,CA,null,//,eyebrow movement,side,TURN > Headnod
null,null,null,//,null,side,Headnod
null,CA,null,null,eyebrow movement,side & UpDn,null
null,CA,null,//,eyebrow movement,UpDn,null
null,CA,null,//,eyebrow movement,side,PUSH
null,CA,null,null,null,side,TURN
null,CA,null,null,null,+interlocutor1,TURN
LEAN,CA,null,null,null,side & UpDn > side,TURN
LEAN,CA,null,//,null,+interlocutor1,TILT
null,CA,null,//,eyebrow movement,+interlocutor1,Headnod
LEAN,null,null,//,eyebrow movement,side > UpDn,TILT
LEAN,null,null,//,eyebrow movement,UpDn,null
LEAN,null,null,SQ,eyebrow movement,side,TILT
LEAN,null,null,SQ,eyebrow movement,side,TILT
LEAN,null,null,SQ,eyebrow movement,+interlocutor1,TILT
null,null,null,SQ,eyebrow movement,+interlocutor1,TURN & Headnod
null,null,null,//,eyebrow movement,side & UpDn,Headnod > TILT
LEAN,null,cheek movement,SQ,eyebrow movement,+interlocutor1,TURN
LEAN,null,null,SQ,eyebrow movement,+interlocutor1,TURN
TWIST,null,null,SQ,eyebrow movement,+interlocutor1 > side > +interlocutor1,TURN > TILT
TWIST,null,null,null,null,+interlocutor1,TILT
null,null,null,null,null,+interlocutor1,TILT > Headnod
null,null,null,//,null,+interlocutor1,Headnod
null,null,null,//,null,side,null
null,null,null,null,null,side > +interlocutor1,TURN
null,null,null,null,null,+interlocutor1,TURN
null,null,null,null,null,+interlocutor1,TURN
null,null,null,//,null,+interlocutor1,TURN > Headnod
null,null,null,//,null,+interlocutor1,Headnod
null,null,null,SQ,eyebrow movement,+nd > +interlocutor1,TILT
null,CA,null,SQ,eyebrow movement,+nd,TILT
null,CA,null,null,eyebrow movement,+nd,TILT
null,null,null,WD,eyebrow movement,+nd > +interlocutor1,TILT
null,null,null,WD,eyebrow movement,+interlocutor1,TURN
null,null,null,WD,eyebrow movement,+interlocutor1,TURN
null,null,null,WD,null,+interlocutor1,TURN
LEAN,CA,null,WD,null,+nd,TILT
LEAN,CA,null,WD > //,null,+nd,TILT
LEAN,null,null,//,null,+nd > +interlocutor1,null
LEAN,null,null,//,null,+interlocutor1,null
LEAN,null,null,null,null,+interlocutor1,TURN
null,null,null,null,null,+interlocutor1,TURN
null,null,null,null,null,+interlocutor1,TURN
null,null,null,null,null,+interlocutor1,TURN
null,null,null,null,null,+interlocutor1,TURN
null,null,null,null,null,+interlocutor1,TURN
null,null,null,//,null,UpDn,TILT
null,null,null,null,null,+interlocutor1,TILT & Headnod
null,null,null,null,null,+interlocutor1,Headnod
null,null,null,null,null,+interlocutor1,null
null,null,null,CLOSED,null,+interlocutor1,Headnod
null,null,null,CLOSED,eyebrow movement,null,null
