Antecedent,Consequent,support,confidence,coverage,lift,count,conviction,cosine,jaccard,Fisher,hlift,hconf
"{NMF_Body_forward=1,NMF_Eyebrows_Furrowed=1,NMF_Head_Shake=1} ", {NMF_Head_TILT=0},0.00200736,1,0.00200736,1.64774,6,        NA,0.0575118,0.003307607,0.05,1,0.9501972
"{NMF_Eyegaze_camera=1,NMF_Eyegaze_sr=1,NMF_Head_Shake=1} ", {NMF_Head_TILT=0},0.00200736,1,0.00200736,1.64774,6,        NA,0.0575118,0.003307607,0.05,1,0.9501972
"{NMF_Body_latral=1,NMF_Eyegaze_camera=1,NMF_Head_Shake=1} ", {NMF_Head_TILT=0},0.00200736,1,0.00200736,1.64774,6,        NA,0.0575118,0.003307607,0.05,1,0.9501972
"{NMF_EyeAp_blink=1,NMF_Eyegaze_sr=1,NMF_Head_Shake=1} ", {NMF_Head_TILT=0},0.00200736,1,0.00200736,1.64774,6,        NA,0.0575118,0.003307607,0.05,1,0.9501972
"{NMF_EyeAp_SQ=1,NMF_Eyegaze_sr=1,NMF_Head_Shake=1} ", {NMF_Head_TILT=0},0.00200736,1,0.00200736,1.64774,6,        NA,0.0575118,0.003307607,0.05,1,0.9501972
"{NMF_EyeAp_SQ=1,NMF_Head_TURN=1,NMF_Head_Shake=1} ", {NMF_Head_TILT=0},0.00200736,1,0.00200736,1.64774,6,        NA,0.0575118,0.003307607,0.05,1,0.9501972
"{NMF_EyeAp_SQ=1,NMF_Head_Shake=1,NMF_Head_latral=1} ", {NMF_Head_TILT=0},0.00200736,1,0.00200736,1.64774,6,        NA,0.0575118,0.003307607,0.05,1,0.9501972
"{NMF_CA=1,NMF_Eyegaze_hands=1,NMF_Head_PUSH=1} ", {NMF_Head_TILT=0},0.00200736,1,0.00200736,1.64774,6,        NA,0.0575118,0.003307607,0.05,1,0.9501972
"{NMF_Body_LEAN=1,NMF_Eyegaze_hands=1,NMF_Head_PUSH=1} ", {NMF_Head_TILT=0},0.00200736,1,0.00200736,1.64774,6,        NA,0.0575118,0.003307607,0.05,1,0.9501972
"{NMF_Body_Shoulder=1,NMF_Eyegaze_dn=1,NMF_Head_Nod=1} ", {NMF_Head_TILT=0},0.00200736,1,0.00200736,1.64774,6,        NA,0.0575118,0.003307607,0.05,1,0.9501972
"{NMF_EyeAp_CLOSED=1,NMF_Eyebrows_Raised=1,NMF_Head_PUSH=1} ", {NMF_Head_TILT=0},0.00200736,1,0.00200736,1.64774,6,        NA,0.0575118,0.003307607,0.05,1,0.9501972
"{NMF_Body_Twist=1,NMF_Eyebrows_Furrowed=1,NMF_Head_PUSH=1} ", {NMF_Head_TILT=0},0.00200736,1,0.00200736,1.64774,6,        NA,0.0575118,0.003307607,0.05,1,0.9501972
"{NMF_EyeAp_WD=1,NMF_Eyegaze_up=1,NMF_Head_PUSH=1} ", {NMF_Head_TILT=0},0.00200736,1,0.00200736,1.64774,6,        NA,0.0575118,0.003307607,0.05,1,0.9501972
"{NMF_Eyegaze_camera=1,NMF_Head_TURN=1,NMF_Head_PUSH=1} ", {NMF_Head_TILT=0},0.00200736,1,0.00200736,1.64774,6,        NA,0.0575118,0.003307607,0.05,1,0.9501972
"{NMF_Body_back=1,NMF_Eyegaze_sl=1,NMF_Head_TURN=1} ", {Loc_gc=1},0.00234192,0.16666667,0.014051522,2.050069,7,1.102442,0.06928995,0.025179856,0.05,0.875,0.950238
"{NMF_Body_Twist=1,NMF_Eyegaze_dn=1,NMF_Head_forward=1} ", {Loc_gc=1},0.00234192,0.16666667,0.014051522,2.050069,7,1.102442,0.06928995,0.025179856,0.05,0.875,0.950238
"{NMF_Body_latral=1,NMF_Cheeks=1,NMF_EyeAp_blink=1} ", {NMF_Head_latral=1},0.00267648,0.8,0.003345601,1.622252,8,2.534292,0.0658933,0.005420054,0.05,1,0.9502531
"{NMF_Body_latral=1,NMF_EyeAp_SQ=1,NMF_Eyegaze_hands=1} ", {NMF_Head_latral=1},0.00267648,0.8,0.003345601,1.622252,8,2.534292,0.0658933,0.005420054,0.05,1,0.9502531
"{NMF_Body_Shoulder=1,NMF_Body_latral=1,NMF_Eyebrows_Raised=1} ", {NMF_Head_latral=1},0.00267648,0.8,0.003345601,1.622252,8,2.534292,0.0658933,0.005420054,0.05,1,0.9502531
"{NMF_Body_back=1,NMF_Body_latral=1,NMF_Eyegaze_up=1} ", {NMF_Head_latral=1},0.00267648,0.8,0.003345601,1.622252,8,2.534292,0.0658933,0.005420054,0.05,1,0.9502531
"{NMF_Body_back=1,NMF_Body_latral=1,NMF_EyeAp_SQ=1} ", {NMF_Head_latral=1},0.00267648,0.8,0.003345601,1.622252,8,2.534292,0.0658933,0.005420054,0.05,1,0.9502531
"{NMF_Body_Twist=1,NMF_EyeAp_WD=1,NMF_Eyegaze_camera=1} ", {NMF_Head_latral=1},0.00267648,0.8,0.003345601,1.622252,8,2.534292,0.0658933,0.005420054,0.05,1,0.9502531
"{NMF_Body_Twist=1,NMF_Eyebrows_Raised=1,NMF_Eyegaze_Inter=1} ", {NMF_Head_latral=1},0.00267648,0.8,0.003345601,1.622252,8,2.534292,0.0658933,0.005420054,0.05,1,0.9502531
"{NMF_EyeAp_SQ=1,NMF_Eyegaze_dn=1,NMF_Eyegaze_up=1} ", {NMF_Head_latral=1},0.00267648,0.8,0.003345601,1.622252,8,2.534292,0.0658933,0.005420054,0.05,1,0.9502531
"{NMF_Eyegaze_camera=1,NMF_Head_TILT=1,NMF_Head_back=1} ", {fs_gc=1},0.0016728,0.0462963,0.036132486,2.471065,5,1.028899,0.06429306,0.031446541,0.05,0.8333333,0.9502604
"{NMF_EyeAp_WD=1,NMF_Eyegaze_dn=1,NMF_Eyegaze_sl=1} ", {Loc_gc=1},0.003345601,0.14492754,0.023084644,1.782668,10,1.074414,0.07722756,0.033112583,0.05,0.9090909,0.9502884
"{NMF_Body_latral=1,NMF_Eyebrows_Furrowed=1,NMF_Head_PUSH=1} ", {NMF_Eyegaze_dn=1},0.006356641,0.52777778,0.012044162,1.388669,19,1.312814,0.09395355,0.016478751,0.05,0.9047619,0.9503149
"{NMF_Body_forward=1,NMF_EyeAp_blink=1,NMF_Eyegaze_dn=1} ", {NMF_Head_latral=0},0.013382402,0.61538462,0.021746403,1.214115,40,1.282168,0.12746677,0.025974026,0.05,0.952381,0.9503679
"{NMF_Body_forward=1,NMF_Eyebrows_Raised=1,NMF_Eyegaze_dn=1} ", {NMF_Head_latral=0},0.013382402,0.61538462,0.021746403,1.214115,40,1.282168,0.12746677,0.025974026,0.05,0.952381,0.9503679
"{NMF_Body_forward=1,NMF_Eyegaze_up=1,NMF_Head_latral=1} ", {NMF_EyeAp_SQ=1},0.004014721,0.4137931,0.009702242,1.595907,12,1.263574,0.08004448,0.015151515,0.05,0.9230769,0.9503887
"{NMF_Eyebrows_Raised=1,NMF_Eyegaze_up=1,NMF_Head_back=1} ", {NMF_Head_PUSH=1},0.00200736,0.25,0.008029441,2.172238,6,1.179882,0.06603382,0.016574586,0.05,0.8571429,0.9503916
"{NMF_Eyegaze_dn=1,NMF_Eyegaze_sr=1,NMF_Head_PUSH=1} ", {NMF_Head_back=1},0.003680161,0.20754717,0.017731683,1.708977,11,1.108652,0.07930516,0.027160494,0.05,0.9166667,0.9503968
"{NMF_Body_LEAN=1,NMF_EyeAp_CLOSED=1,NMF_Head_TURN=1} ", {NMF_EyeAp_SQ=0},0.006691201,0.90909091,0.007360321,1.227314,20,2.852124,0.09062121,0.009025271,0.05,0.952381,0.9504084
"{NMF_EyeAp_WD=1,NMF_Eyegaze_up=1,NMF_Head_TILT=1} ", {NMF_EyeAp_SQ=0},0.006691201,0.90909091,0.007360321,1.227314,20,2.852124,0.09062121,0.009025271,0.05,0.952381,0.9504084
