Antecedent,Consequent,support,confidence,coverage,lift,count,conviction,cosine,jaccard,Fisher,hlift,hconf
{NMF_CA=1} , {Gesture_gc=1},2.01%,5.75%,0.348946136,1.868982,60,1.028379,0.19369356,0.055813953,0.00,1.3953488,1
"{NMF_CA=1,NMF_Eyegaze=1} ", {Gesture_gc=1},1.94%,5.70%,0.340247574,1.852871,58,1.027839,0.1896154,0.055185538,0.00,1.3809524,1
"{NMF_CA=1,NMF_Head=1} ", {Gesture_gc=1},1.84%,5.66%,0.325192372,1.838377,55,1.027353,0.18392283,0.054509415,0.00,1.375,1
"{NMF_CA=1,NMF_Eyegaze=1,NMF_Head=1} ", {Gesture_gc=1},1.77%,5.58%,0.317832051,1.812551,53,1.026488,0.17927517,0.053589484,0.00,1.325,0.9999998
"{NMF_CA=1,NMF_EyeAp=1} ", {Gesture_gc=1},1.27%,6.14%,0.207092673,1.994486,38,1.032612,0.15923714,0.056463596,0.00,1.3571429,0.9999959
"{NMF_CA=1,NMF_EyeAp=1,NMF_Head=1} ", {Gesture_gc=1},1.20%,6.22%,0.193710271,2.02005,36,1.033478,0.15598014,0.056692913,0.00,1.3333333,0.9999936
"{NMF_CA=1,NMF_EyeAp=1,NMF_Eyegaze=1} ", {Gesture_gc=1},1.20%,6.01%,0.200401472,1.952602,36,1.031195,0.15335402,0.054961832,0.00,1.2857143,0.9999856
"{NMF_CA=1,NMF_Eyebrows=1} ", {Gesture_gc=1},1.24%,5.88%,0.210438274,1.911125,37,1.029797,0.15380926,0.054093567,0.00,1.2758621,0.999983
"{NMF_CA=1,NMF_Eyebrows=1,NMF_Head=1} ", {Gesture_gc=1},1.14%,5.83%,0.195048511,1.894735,34,1.029245,0.14680834,0.053042122,0.00,1.2592593,0.9999443
"{NMF_CA=1,NMF_Eyebrows=1,NMF_Eyegaze=1} ", {Gesture_gc=1},1.17%,5.67%,0.206423553,1.842981,35,1.027507,0.1469033,0.051928783,0.00,1.25,0.9999256
"{NMF_CA=1,NMF_EyeAp=1,NMF_Eyegaze=1} ", {Interact_gc=1},0.50%,2.50%,0.200401472,2.201463,15,1.014018,0.10510863,0.024271845,0.00,1.1538462,0.9988286
"{NMF_Body=1,NMF_CA=1,NMF_EyeAp=1} ", {Gesture_gc=1},0.87%,5.52%,0.157577785,1.793455,26,1.025849,0.12490188,0.048417132,0.00,1.1304348,0.9985826
"{NMF_CA=1,NMF_EyeAp=1} ", {Interact_gc=1},0.50%,2.42%,0.207092673,2.130334,15,1.013177,0.10339665,0.023510972,0.00,1.1538462,0.9983306
