Antecedent,Consequent,support,confidence,coverage,lift,count,conviction,cosine,jaccard,Fisher,hlift,hconf
"{NMF_EyeAp_SQ=0,NMF_Head_TURN=1} ", {Adv_gc=1},0.007694881,0.02709069,0.284041485,1.372442,23,1.007556,0.10276565,0.025988701,0.05,0.92,0.9500021
"{NMF_Eyegaze_dn=0,NMF_Eyegaze_nd=1} ", {NMF_Cheeks=1},0.00100368,0.09677419,0.010371362,3.571087,3,1.07714,0.05986843,0.027522936,0.05,1,0.950008
"{NMF_EyeAp_WD=0,NMF_Eyegaze_nd=1} ", {NMF_Cheeks=1},0.00100368,0.09677419,0.010371362,3.571087,3,1.07714,0.05986843,0.027522936,0.05,1,0.950008
"{NMF_Body_back=1,NMF_EyeAp_WD=1} ", {NMF_Cheeks=1},0.00100368,0.09677419,0.010371362,3.571087,3,1.07714,0.05986843,0.027522936,0.05,1,0.950008
"{NMF_EyeAp_blink=0,NMF_Head_TILT=0} ", {Interact_gc=1},0.007025761,0.01517341,0.463031114,1.333921,21,1.003857,0.09680812,0.015032212,0.05,0.9545455,0.9500159
"{NMF_EyeAp_blink=0,NMF_EyeAp_WD=1} ", {SName_gc=1},0.00234192,0.02028986,0.115423218,2.021546,7,1.010465,0.06880625,0.019021739,0.05,0.875,0.9500225
"{NMF_Eyegaze_up=1,NMF_Eyegaze_sr=0} ", {NMF_Eyebrows_Raised=1},0.020408163,0.30049261,0.067915691,1.205601,61,1.073259,0.15685692,0.068771139,0.05,0.9384615,0.9500303
"{NMF_Body_forward=1,NMF_Eyebrows_Furrowed=1} ", {NMF_Eyegaze_hands=1},0.00267648,0.05882353,0.045500167,1.953595,8,1.030508,0.07231015,0.036697248,0.05,0.8888889,0.9500396
"{NMF_Head_TILT=0,Pro_gc=1} ", {NMF_Eyebrows_Raised=1},0.017397123,0.30588235,0.056875209,1.227225,52,1.081593,0.146117,0.060254925,0.05,0.9454545,0.9500508
"{NMF_Eyegaze_camera=1,NMF_Head_latral=1} ", {fs_gc=1},0.00267648,0.03636364,0.073603212,1.940909,8,1.018293,0.072075,0.029850746,0.05,0.8888889,0.9500578
"{NMF_Eyegaze_sr=0,Adv_gc=1} ", {NMF_Body_LEAN=0},0.008698561,0.65,0.013382402,1.27735,26,1.40324,0.10540926,0.016938111,0.05,0.9285714,0.9500775
"{NMF_EyeAp_SQ=0,NMF_Eyegaze_sl=1} ", {Num_gc=1},0.006022081,0.02117647,0.284376046,1.438556,18,1.006595,0.09307578,0.020547945,0.05,0.9,0.9500999
"{NMF_Head_latral=1,Num_gc=1} ", {NMF_Eyegaze_sr=1},0.00301104,0.47368421,0.006356641,1.726637,9,1.378755,0.0721039,0.010843373,0.05,0.9,0.9501302
"{NMF_Eyegaze_sr=1,NMF_Head_TILT=0} ", {Interact_gc=1},0.003680161,0.01899827,0.193710271,1.670172,11,1.007771,0.07839962,0.018272425,0.05,0.9166667,0.9501529
"{NMF_Eyebrows_Furrowed=1,NMF_Eyegaze_sl=0} ", {NMF_Body_Twist=1},0.021411843,0.13087935,0.163599866,1.207402,64,1.025867,0.16078778,0.085447263,0.05,0.9411765,0.950187
"{NMF_Body_Twist=1,NMF_EyeAp_SQ=1} ", {NMF_Cheeks=1},0.00200736,0.06060606,0.033121445,2.236438,6,1.035668,0.06700252,0.034482759,0.05,0.8571429,0.9501892
"{NMF_Body_Twist=1,NMF_Head_latral=0} ", {NMF_Cheeks=1},0.00200736,0.06060606,0.033121445,2.236438,6,1.035668,0.06700252,0.034482759,0.05,0.8571429,0.9501892
"{NMF_Eyegaze_Inter=1,WHQ_gc=1} ", {NMF_Head_TILT=0},0.00200736,1,0.00200736,1.64774,6,        NA,0.0575118,0.003307607,0.05,1,0.9501972
"{NMF_Eyegaze_sr=1,WHQ_gc=1} ", {NMF_Head_TILT=0},0.00200736,1,0.00200736,1.64774,6,        NA,0.0575118,0.003307607,0.05,1,0.9501972
"{NMF_Head_Nod=1,fs_gc=1} ", {NMF_Head_TILT=0},0.00200736,1,0.00200736,1.64774,6,        NA,0.0575118,0.003307607,0.05,1,0.9501972
"{NMF_Eyegaze_Inter=1,fs_gc=1} ", {NMF_Head_TILT=0},0.00200736,1,0.00200736,1.64774,6,        NA,0.0575118,0.003307607,0.05,1,0.9501972
"{NMF_Head_Shake=1,Loc_gc=1} ", {NMF_Head_TILT=0},0.00200736,1,0.00200736,1.64774,6,        NA,0.0575118,0.003307607,0.05,1,0.9501972
"{NMF_Eyegaze_dn=1,SName_gc=0} ", {Conj_gc=1},0.008364001,0.02218279,0.37704918,1.326087,25,1.005579,0.10531568,0.021701389,0.05,0.9259259,0.9502037
"{NMF_Eyebrows_Raised=0,Conj_gc=0} ", {WHQ_gc=1},0.008029441,0.01088435,0.737704918,1.204938,24,1.001872,0.09836148,0.010869565,0.05,0.96,0.9502284
"{NMF_EyeAp_WD=1,NMF_Head_latral=0} ", {NMF_Eyegaze_dh=1},0.00234192,0.03867403,0.06055537,2.064227,7,1.020741,0.0695288,0.030434783,0.05,0.875,0.9502296
"{NMF_Eyebrows_Furrowed=1,NMF_Eyegaze_Inter=1} ", {WHQ_gc=1},0.00100368,0.03225806,0.031114085,3.571087,3,1.023999,0.05986843,0.025641026,0.05,1,0.9502595
"{NMF_Eyegaze_camera=0,Frag_gc=1} ", {NMF_Eyegaze_dn=1},0.006356641,0.52777778,0.012044162,1.388669,19,1.312814,0.09395355,0.016478751,0.05,0.9047619,0.9503149
"{NMF_Body_LEAN=0,NMF_Head_PUSH=1} ", {NMF_Eyegaze_hands=1},0.00234192,0.0625,0.037470726,2.075694,7,1.034549,0.06972167,0.035897436,0.05,0.875,0.95035
"{NMF_Eyegaze_camera=1,NMF_Eyegaze_sl=1} ", {NMF_Body_back=1},0.00301104,0.125,0.024088324,1.858831,9,1.066004,0.0748132,0.034090909,0.05,0.9,0.950352
"{NMF_Head_TILT=0,Loc_gc=1} ", {NMF_EyeAp_CLOSED=1},0.005018401,0.0955414,0.052525928,1.577753,15,1.038682,0.088982,0.046439628,0.05,0.8823529,0.9503527
