Antecedent,Consequent,support,confidence,coverage,lift,count,conviction,cosine,jaccard,Fisher,hlift,hconf
"{NMF_Cheeks=0,NMF_EyeAp=0,NMF_Eyegaze=0} ", {NMF_Head=0},0.00234192,0.30434783,0.007694881,2.400252,7,1.255228,0.07497466,0.017721519,0.02,1,0.9801008
"{NMF_EyeAp=1,NMF_Eyegaze=0,Non_Lex=0} ", {NMF_Body=0},0.011040482,0.5,0.022080964,1.351266,33,1.259953,0.12214183,0.028972783,0.02,0.9705882,0.9801413
"{NMF_Cheeks=0,NMF_EyeAp=1,NMF_Eyebrows=0} ", {Non_Lex=1},0.013382402,0.05681818,0.235530278,1.347854,40,1.015547,0.13430383,0.050632911,0.02,0.9756098,0.9801629
"{NMF_CA=0,NMF_Cheeks=1,NMF_Eyebrows=1} ", {NMF_Body=1},0.007025761,0.84,0.008364001,1.333383,21,2.312646,0.09678858,0.011128776,0.02,1,0.9802822
"{NMF_CA=0,NMF_Cheeks=1,NMF_Head=1} ", {NMF_Body=1},0.012044162,0.7826087,0.015389762,1.242282,36,1.702108,0.12232027,0.019017433,0.02,1,0.9804295
"{Partly_Lex=1,Fully_Lex=1} ", {NMF_Eyebrows=1},0.007694881,0.71875,0.010705922,1.370992,23,1.691536,0.10271133,0.014593909,0.02,1,0.9804771
"{Partly_Lex=1,Fully_Lex=1,Non_Lex=0} ", {NMF_Eyebrows=1},0.007694881,0.71875,0.010705922,1.370992,23,1.691536,0.10271133,0.014593909,0.02,1,0.9804771
"{NMF_Cheeks=0,Partly_Lex=1,Fully_Lex=1} ", {NMF_Eyebrows=1},0.007694881,0.71875,0.010705922,1.370992,23,1.691536,0.10271133,0.014593909,0.02,1,0.9804771
"{NMF_Body=0,NMF_EyeAp=0,NMF_Eyegaze=0} ", {NMF_Head=0},0.00200736,0.33333333,0.006022081,2.628848,6,1.309803,0.07264327,0.015345269,0.02,1,0.9805133
"{NMF_Body=0,NMF_Eyegaze=0,Fully_Lex=1} ", {NMF_Head=0},0.00267648,0.28571429,0.009367681,2.253298,8,1.222482,0.07765892,0.020050125,0.02,1,0.9806819
"{NMF_Body=0,NMF_Head=0,Partly_Lex=1} ", {NMF_Eyegaze=0},0.00200736,0.08695652,0.023084644,2.794764,6,1.061161,0.07490059,0.038461538,0.02,1,0.9808871
"{NMF_Body=1,NMF_Eyegaze=0,Partly_Lex=0} ", {NMF_Eyebrows=0},0.004683841,0.73684211,0.006356641,1.548819,14,1.992171,0.0851729,0.009810792,0.02,1,0.9809253
"{NMF_Body=0,NMF_CA=0,Non_Lex=1} ", {NMF_Eyebrows=0},0.004683841,0.73684211,0.006356641,1.548819,14,1.992171,0.0851729,0.009810792,0.02,1,0.9809253
"{NMF_Cheeks=1,NMF_EyeAp=1,NMF_Eyegaze=1} ", {NMF_CA=1},0.008364001,0.5,0.016728003,1.432886,25,1.302108,0.10947447,0.02340824,0.02,1,0.9809634
"{NMF_CA=0,NMF_Cheeks=1} ", {Fully_Lex=0},0.011040482,0.70212766,0.015724323,1.291483,33,1.531998,0.11940935,0.020134228,0.02,1,0.9810948
"{NMF_Cheeks=1,NMF_EyeAp=1,Non_Lex=0} ", {Fully_Lex=0},0.011040482,0.70212766,0.015724323,1.291483,33,1.531998,0.11940935,0.020134228,0.02,1,0.9810948
"{NMF_CA=0,NMF_Cheeks=1,Non_Lex=0} ", {Fully_Lex=0},0.011040482,0.70212766,0.015724323,1.291483,33,1.531998,0.11940935,0.020134228,0.02,1,0.9810948
"{NMF_CA=0,NMF_Cheeks=1,NMF_Eyegaze=1} ", {Fully_Lex=0},0.011040482,0.70212766,0.015724323,1.291483,33,1.531998,0.11940935,0.020134228,0.02,1,0.9810948
"{NMF_CA=0,NMF_EyeAp=1,Fully_Lex=0} ", {NMF_Eyegaze=0},0.008364001,0.04672897,0.178989629,1.501859,25,1.01638,0.11207833,0.04145937,0.02,0.9615385,0.9811092
"{NMF_Eyebrows=0,NMF_Head=0,Fully_Lex=0} ", {NMF_EyeAp=0},0.014720642,0.52380952,0.028103044,1.286497,44,1.244965,0.13761562,0.035003978,0.02,0.9777778,0.9812107
