Antecedent,Consequent,support,confidence,coverage,lift,count,conviction,cosine,jaccard,Fisher,hlift,hconf
{NMF_Head_back=1} , {NMF_Head_latral=0},9.50%,79%,0.121445299,1.549,285,2.295005,0.38431314,0.178907721,0,1.3902439,1
{NMF_Body_forward=1} , {NMF_Head_PUSH=1},4.90%,27%,0.179658749,2.37854,147,1.218455,0.34201958,0.20027248,0,1.8846154,1
{NMF_Head_PUSH=1} , {NMF_Body_forward=1},4.90%,43%,0.115088658,2.37854,147,1.432474,0.34201958,0.20027248,0,1.8846154,1
{NMF_Eyegaze_dn=1} , {NMF_Body_forward=1},10.50%,28%,0.380060221,1.543419,315,1.135089,0.40330559,0.231958763,0,1.3815789,1
{NMF_Body_forward=1} , {NMF_Eyegaze_dn=1},10.50%,59%,0.179658749,1.543419,315,1.499584,0.40330559,0.231958763,0,1.3815789,1
{NMF_EyeAp_SQ=0} , {NMF_EyeAp_WD=1},12.40%,17%,0.740715959,1.26503,372,1.04231,0.39678832,0.166145601,0,1.1884984,1
{NMF_EyeAp_WD=1} , {NMF_EyeAp_SQ=0},12.40%,94%,0.132820341,1.26503,372,4.117431,0.39678832,0.166145601,0,1.1884984,1
{NMF_Head_PUSH=1} , {NMF_Head_TILT=0},9.80%,85%,0.115088658,1.408243,294,2.704583,0.37217695,0.157725322,0,1.2894737,1
{NMF_Head_TILT=0} , {NMF_Head_PUSH=1},9.80%,16%,0.606891937,1.408243,294,1.056072,0.37217695,0.157725322,0,1.2894737,1
{Pro_gc=1} , {WHQ_gc=1},0.90%,9%,0.095349615,10.099285,26,1.090446,0.29639375,0.090909091,0,3.7142857,1
{WHQ_gc=1} , {Pro_gc=1},0.90%,96%,0.009033121,10.099285,26,24.42556,0.29639375,0.090909091,0,3.7142857,1
{NMF_Head_back=1} , {NMF_Head_TURN=0},10.20%,84%,0.121445299,1.379143,305,2.445657,0.37513843,0.162320383,0,1.2655602,1
{NMF_Head_TURN=0} , {NMF_Head_back=1},10.20%,17%,0.609233857,1.379143,305,1.055309,0.37513843,0.162320383,0,1.2655602,1
{NMF_Head_TURN=0} , {NMF_Head_PUSH=1},9.70%,16%,0.609233857,1.388515,291,1.053218,0.36767051,0.155282818,0,1.2707424,1
{NMF_Head_PUSH=1} , {NMF_Head_TURN=0},9.70%,85%,0.115088658,1.388515,291,2.536293,0.36767051,0.155282818,0,1.2707424,1
{NMF_Body_LEAN=0} , {NMF_Body_Shoulder=1},5.00%,10%,0.508865841,1.681173,148,1.043675,0.28851876,0.095730918,0,1.4368932,1
