"Antecedent","Consequent","support","confidence","coverage","lift","count","conviction","cosine","jaccard","Fisher","hlift","hconf"
"{Body_pres=0,Head_pres=0} "," {Eyegaze_pres=0}","0.004683841","0.05982906","0.078287053","1.922893"," 14","1.030542","0.09490271","0.044728435","0.012077500289518317000414526773966","1.0000000","0.9879225"
"{EyeAp_pres=0,Eyegaze_pres=0} "," {Head_pres=0}","0.002341920","0.30434783","0.007694881","2.400252","  7","1.255228","0.07497466","0.017721519","0.019899241440857060730929006808765","1.0000000","0.9801008"
"{EyeAp_pres=0,Head_pres=0} "," {Eyegaze_pres=0}","0.002341920","0.04347826","0.053864169","1.397382","  7","1.012926","0.05720627","0.028340081","0.232589045687109197135811200496391","0.6363636","0.7674110"
"{Eyegaze_pres=0,Head_pres=0} "," {Eyebrows_pres=0}","0.005018401","0.71428571","0.007025761","1.501406"," 15","1.834895","0.08680242","0.010504202","0.023297828026469843271106796578351","1.0000000","0.9767022"
"{Eyebrows_pres=0,Eyegaze_pres=0} "," {Head_pres=0}","0.005018401","0.25862069","0.019404483","2.039623"," 15","1.177807","0.10117138","0.035545024","0.004506754829836517178831556407204","1.0714286","0.9954932"
"{Eyebrows_pres=0,Head_pres=0} "," {Eyegaze_pres=0}","0.005018401","0.07936508","0.063231850","2.550777"," 15","1.052411","0.11314071","0.056179775","0.000576083547346917051144854493572","1.2500000","0.9994239"
"{Eyebrows_pres=1,Eyegaze_pres=0} "," {Head_pres=0}","0.002007360","0.17142857","0.011709602","1.351979","  6","1.053864","0.05209519","0.014705882","0.278804136014877190774541304563172","0.6666667","0.7211959"
"{EyeAp_pres=1,Eyegaze_pres=0} "," {Head_pres=0}","0.004683841","0.20000000","0.023419204","1.577309"," 14","1.091502","0.08595268","0.032183908","0.052607668984241809373436637997656","0.8750000","0.9473923"
"{EyeAp_pres=1,Head_pres=0} "," {Eyegaze_pres=0}","0.004683841","0.06422018","0.072934092","2.064023"," 14","1.035378","0.09832372","0.047138047","0.006579123704842649612845040252296","1.0769231","0.9934209"
"{Body_pres=1,Eyegaze_pres=0} "," {Head_pres=0}","0.002341920","0.17500000","0.013382402","1.380145","  7","1.058426","0.05685235","0.016990291","0.237421897717842278474620343331480","0.7000000","0.7625781"
"{Body_pres=1,Head_pres=0} "," {Eyegaze_pres=0}","0.002341920","0.04827586","0.048511208","1.551576","  7","1.018032","0.06027991","0.030303030","0.162437867286541109956843342843058","0.7000000","0.8375621"
"{Eyegaze_pres=0,Head_pres=0} "," {CA_pres=0}","0.005687521","0.80952381","0.007025761","1.243405"," 17","1.831967","0.08409455","0.008717949","0.093219718855089769848909497795830","0.9444444","0.9067803"
"{CA_pres=0,Eyegaze_pres=0} "," {Head_pres=0}","0.005687521","0.25373134","0.022415524","2.001063"," 17","1.170090","0.10668219","0.039627040","0.003178113279135069430686444391654","1.1333333","0.9968219"
"{CA_pres=0,Head_pres=0} "," {Eyegaze_pres=0}","0.005687521","0.05519481","0.103044496","1.773949"," 17","1.025487","0.10044587","0.044270833","0.012416750992439273826306589398882","1.0000000","0.9875832"
"{Cheeks_pres=0,Eyegaze_pres=0} "," {Head_pres=0}","0.007025761","0.22826087","0.030779525","1.800189"," 21","1.131473","0.11246199","0.046666667","0.004387510014975112143664759400963","1.1052632","0.9956125"
"{Cheeks_pres=0,Head_pres=0} "," {Eyegaze_pres=0}","0.007025761","0.05555556","0.126463700","1.785544"," 21","1.025879","0.11200358","0.046666667","0.004864767169853029087078777337183","1.0500000","0.9951352"
"{CA_pres=1,Eyegaze_pres=0} "," {EyeAp_pres=1}","0.006691201","0.76923077","0.008698561","1.297534"," 20","1.764358","0.09317759","0.011248594","0.047421881356496407844414164856062","0.9523810","0.9525781"
"{EyeAp_pres=0,Eyegaze_pres=0} "," {Body_pres=0}","0.006022081","0.78260870","0.007694881","2.115025"," 18","2.897892","0.11285766","0.016201620","0.000062318852858906525647372798282","1.2857143","0.9999377"
"{Body_pres=0,EyeAp_pres=0} "," {Eyegaze_pres=0}","0.006022081","0.03781513","0.159250585","1.215370"," 18","1.006964","0.08555149","0.032667877","0.215668065169787398493994601267332","0.7826087","0.7843319"
"{Eyebrows_pres=0,Eyegaze_pres=0} "," {Body_pres=0}","0.010036802","0.51724138","0.019404483","1.397861"," 30","1.304951","0.11844854","0.026455026","0.014750183201076405570262295441353","1.0000000","0.9852498"
"{Body_pres=0,Eyebrows_pres=0} "," {Eyegaze_pres=0}","0.010036802","0.05703422","0.175978588","1.833068"," 30","1.027488","0.13563973","0.050933786","0.000356302730471013502297483732661","1.2000000","0.9996437"
"{Eyebrows_pres=1,Eyegaze_pres=0} "," {Body_pres=0}","0.007694881","0.65714286","0.011709602","1.775949"," 23","1.837432","0.11690047","0.020572451","0.000495268545271137583876908117020","1.1500000","0.9995047"
"{Body_pres=0,Eyebrows_pres=1} "," {Eyegaze_pres=0}","0.007694881","0.03965517","0.194044831","1.274509"," 23","1.008894","0.09903127","0.035384615","0.119348848380587485573656181259139","0.8518519","0.8806512"
"{EyeAp_pres=1,Eyegaze_pres=0} "," {Body_pres=0}","0.011709602","0.50000000","0.023419204","1.351266"," 35","1.259953","0.12578865","0.030674847","0.016732489564758548650225122855772","1.0000000","0.9832675"
"{Body_pres=0,EyeAp_pres=1} "," {Eyegaze_pres=0}","0.011709602","0.05555556","0.210772834","1.785544"," 35","1.025879","0.14459601","0.050872093","0.000150499571364378048306600921258","1.2068966","0.9998495"
"{Body_pres=0,Eyegaze_pres=0} "," {CA_pres=0}","0.014386082","0.81132075","0.017731683","1.246165"," 43","1.849415","0.13389338","0.021983640","0.007890199547325742537862147685246","1.0238095","0.9921098"
"{CA_pres=0,Eyegaze_pres=0} "," {Body_pres=0}","0.014386082","0.64179104","0.022415524","1.734461"," 43","1.758685","0.15796232","0.038053097","0.000004605825217254327052975731993","1.2647059","0.9999954"
"{Body_pres=0,CA_pres=0} "," {Eyegaze_pres=0}","0.014386082","0.05321782","0.270324523","1.710409"," 43","1.023346","0.15686328","0.050116550","0.000043087839100745513667978237038","1.2285714","0.9999569"
"{Eyegaze_pres=0,Head_pres=1} "," {Body_pres=0}","0.013047842","0.54166667","0.024088324","1.463871"," 39","1.374494","0.13820406","0.034240562","0.001990608984666875861530010993761","1.0833333","0.9980094"
"{Body_pres=0,Head_pres=1} "," {Eyegaze_pres=0}","0.013047842","0.04472477","0.291736367","1.437445"," 39","1.014248","0.13695090","0.042116631","0.005165896671128360900793197174607","1.0540541","0.9948341"
"{Cheeks_pres=0,Eyegaze_pres=0} "," {Body_pres=0}","0.017731683","0.57608696","0.030779525","1.556893"," 53","1.486099","0.16615155","0.046288210","0.000036218263346268604282486569534","1.1777778","0.9999638"
"{Body_pres=0,Cheeks_pres=0} "," {Eyegaze_pres=0}","0.017731683","0.04857929","0.365005018","1.561328"," 53","1.018357","0.16638801","0.046861185","0.000035277941950197692986667535875","1.1777778","0.9999647"
"{EyeAp_pres=0,Eyegaze_pres=0} "," {Eyebrows_pres=0}","0.005018401","0.65217391","0.007694881","1.370849"," 15","1.507235","0.08294258","0.010489510","0.067657667210985372729936671021278","0.9375000","0.9323423"
"{Eyebrows_pres=0,Eyegaze_pres=0} "," {EyeAp_pres=1}","0.014386082","0.74137931","0.019404483","1.250555"," 43","1.574350","0.13412897","0.024062675","0.012682146188668237327124010960233","1.0000000","0.9873179"
"{EyeAp_pres=1,Eyegaze_pres=0} "," {Eyebrows_pres=0}","0.014386082","0.61428571","0.023419204","1.291210"," 43","1.359181","0.13629177","0.029675638","0.012867230510274812321780402157856","1.0000000","0.9871328"
"{EyeAp_pres=1,Eyebrows_pres=0} "," {Eyegaze_pres=0}","0.014386082","0.05922865","0.242890599","1.903596"," 43","1.029885","0.16548501","0.055412371","0.000002250483302533396214257024881","1.3437500","0.9999977"
"{Body_pres=1,Eyegaze_pres=0} "," {Eyebrows_pres=0}","0.009367681","0.70000000","0.013382402","1.471378"," 28","1.747519","0.11740274","0.019525802","0.003269932437328783563640355325219","1.0769231","0.9967301"
"{CA_pres=0,Eyegaze_pres=0} "," {Eyebrows_pres=0}","0.014720642","0.65671642","0.022415524","1.380398"," 44","1.527179","0.14254943","0.030449827","0.001941138810749611131115099915689","1.0731707","0.9980589"
"{CA_pres=0,Eyebrows_pres=0} "," {Eyegaze_pres=0}","0.014720642","0.04365079","0.337236534","1.402927"," 44","1.013109","0.14370800","0.041627247","0.004016755660257448866390372899104","1.0476190","0.9959832"
"{Eyegaze_pres=0,Head_pres=1} "," {Eyebrows_pres=0}","0.014386082","0.59722222","0.024088324","1.255343"," 43","1.301600","0.13438550","0.029634735","0.024372997772342190614391910230552","0.9772727","0.9756270"
"{Cheeks_pres=0,Eyegaze_pres=0} "," {Eyebrows_pres=0}","0.019069923","0.61956522","0.030779525","1.302307"," 57","1.378043","0.15759090","0.039121482","0.003424293682187514505782521823107","1.0363636","0.9965757"
"{Cheeks_pres=0,Eyebrows_pres=0} "," {Eyegaze_pres=0}","0.019069923","0.04124457","0.462361994","1.325592"," 57","1.010566","0.15899350","0.040197461","0.002172541524485439509706274918699","1.0555556","0.9978275"
"{Eyebrows_pres=1,Eyegaze_pres=0} "," {EyeAp_pres=1}","0.009033121","0.77142857","0.011709602","1.301242"," 27","1.781323","0.10841712","0.015168539","0.020690036715832599983899697804191","1.0000000","0.9793100"
"{Body_pres=1,Eyegaze_pres=0} "," {EyeAp_pres=1}","0.011709602","0.87500000","0.013382402","1.475945"," 35","3.257277","0.13146380","0.019696117","0.000094286032187047838573623614877","1.1290323","0.9999057"
"{CA_pres=0,Eyegaze_pres=0} "," {EyeAp_pres=1}","0.016728003","0.74626866","0.022415524","1.258802"," 50","1.604688","0.14511114","0.027948575","0.005924755115927798909680745964579","1.0204082","0.9940752"
