Body_Movement,CA,Cheeks,Eye_Aperture,Eyebrows,Eyegaze,Head_Movement
TWIST+sr,CA:BOY,null,null,null,+dn,TILT+sr
TWIST+sr,null,null,null,null,+dn,Headnod
LEAN+backward,CA:BOY,null,//,null,+dn,TILT+sl
LEAN+backward,null,null,CLOSED,null,+dn,TILT+forward
null,null,null,CLOSED,null,+dn,TILT+forward
LEAN+forward,null,null,//,null,+dn,Headnod
null,null,null,null,null,+dn,TILT+sr
SHOULDERS+hunched,CA:FROG ,2 x Puffed,//,null,+dn,TILT+forward
null,null,2 x Puffed,//,null,+dn,TILT+forward
null,null,2 x Puffed,null,null,+dn,TILT+forward
null,null,2 x Puffed,null,null,+dn,TILT+forward
LEAN+backward,null,2 x Puffed,null,null,+dn,TILT+forward
LEAN+sl,null,null,null,null,+dn,TILT+forward
,null,null,//,null,+dn,TURN+sl
SHOULDERS+hunched,null,null,//,null,+dn,TURN+sl
SHOULDERS+hunched,null,null,//,null,+dn,TURN+sl
LEAN+forward,null,null,//,null,+dn,TILT+forward
LEAN+forward,null,null,null,null,+dn,TILT+forward
LEAN+forward,null,null,null,null,+dn,TILT+forward
null,null,null,null,null,+dn,null
LEAN+forward,CA:DEER,null,null,null,+dn,PUSH+forward
LEAN+forward,null,null,null,null,+dn,TILT+forward
LEAN+forward,null,null,null,null,+dn,TILT+forward
LEAN+forward,CA:DOG,null,null,null,+dn,PUSH+forward
LEAN+sl,CA:BOY,null,null,null,+dn,TILT+forward > TILT+sr
LEAN+sl,null,null,null,null,+dn,TILT+sr
LEAN+sl,null,null,null,null,+dn,TILT+sr
LEAN+sl,null,null,SQ,null,+dn,TILT+sr
LEAN+sl,CA:FROG,null,SQ,null,+dn,TILT+forward & TILT+sr
LEAN+sl > LEAN+sr > LEAN+sl > LEAN+backward,CA:BOY,null,CLOSED,null,+dn,TILT+sr > TILT+forward > TILT+sr
LEAN+backward,null,null,CLOSED,null,+dn,TILT+sr
LEAN+forward,null,null,null,null,+dn,TILT+backward
LEAN+forward,CA:DOG,null,WD,null,+dn,TILT+forward
LEAN+forward > LEAN+sr,CA:DOG,null,null,null,+dn,TILT+forward
LEAN+backward,null,null,//,null,+dn,Headshake
LEAN+backward,null,null,//,null,+dn,TURN+sr
LEAN+backward > LEAN+sl,null,null,null,null,+dn,TILT+backward > TILT+sl
LEAN+sl,CA:BOY,null,null,null,+dn,TILT+sl
LEAN+sr,null,null,// > SQ,null,+dn,Headnod > TILT+sl
LEAN+sl,null,null,WD,null,+dh > +sr & +up,TURN+sr > TILT+backward
LEAN+forward,CA:BOY  ,null,null,null,+dh > +sr & +dn,TILT+forward > Headnod
LEAN+forward,null,null,null,null,+dh > +interlocutor1,TILT+forward
null,null,null,SQ,null,+dh > +interlocutor1,Headnod
LEAN+sr,null,null,SQ,null,+dh > +hands,TURN+sr > TURN+sl
null,null,null,null,null,+dh > +dn,TURN+sr
LEAN+forward,null,null,CLOSED,null,+dh > +camera,TILT+backward > Headnod
null,null,null,null,null,+dh,null
LEAN+sr,null,null,null,null,+dh,null
LEAN+sl,null,null,null,null,+dh,null
LEAN+sl,null,null,null,null,+dh,TURN+sr
null,null,null,//,null,+dh,TILT+forward
null,null,null,SQ+ > //,null,+dh,TILT+forward
null,null,null,SQ,null,+dh,null
LEAN+sr,null,null,SQ,null,+dh,null
LEAN+sr,null,null,CLOSED,null,+dh,TURN+sr
null,null,null,SQ,null,+dh,TURN+sr > TILT+forward
null,null,null,CLOSED,null,+dh,TILT+forward
null,null,null,//,null,+dh,Headnod
null,null,null,SQ,null,+dh,Headnod
null,null,null,SQ,null,+dh,null
null,null,null,SQ,null,+dh,TURN+sr
LEAN+forward,null,null,SQ,null,+dh,TURN+sr
LEAN+sr,null,null,SQ,null,+dh,TURN+sr
null,null,null,null,null,+camera > +sr > +sl,null
null,null,null,null,null,+camera > +sr & +up,null
LEAN+sr,CA:BOY,null,SQ,null,+camera > +sr & +up,TILT+sr > TILT+forward
LEAN+forward > LEAN+sr > TWIST+sl,CA:BOY,null,WD,null,+camera > +sr & +dn > +sl,TURN+sl > TILT+forward > TURN+sl
LEAN+sl,null,null,//,null,+camera > +sr & +dn,TILT+forward > TILT+sr
LEAN+forward & TWIST+sr,null,null,null,null,+camera > +sr & +dn,TILT+sr
LEAN+forward & TWIST+sr,null,null,//,null,+camera > +sr & +dn,PUSH+forward
null,null,null,//,null,+camera > +sr & +dn,TILT+forward
LEAN+forward,null,null,SQ,null,+camera > +sr & +dn,TILT+forward
LEAN+backward,null,null,//,null,+camera > +sr & +dn,TILT+backward
LEAN+sr,null,null,WD,null,+camera > +sr & +dn,TILT+backward > TURN+sr
null,CA:MOTHER ,null,//,null,+camera > +sr,TILT+forward
null,null,null,//,null,+camera > +sr,Headshake > TURN+sr
TWIST+sr,CA:WOMAN,null,WD > //,null,+camera > +sr,PUSH+forward > TURN+sr > Headshake
LEAN+forward,null,null,null,null,+camera > +sl > +dn,TURN+sr
LEAN+sr,CA:BOY,null,WD > //,null,+camera > +sl & +up > +sl & +up,TURN+sl > TURN+sr
LEAN+forward,CA:BOY,null,WD,null,+camera > +sl & +up,TURN+sl > TILT+forward > TURN+sl
TWIST+sl,null,null,null,null,+camera > +sl & +dn,TURN+sl > TILT+forward
LEAN+forward,null,null,WD,null,+camera > +sl & +dn,TILT+backward
LEAN+sl,null,null,null,null,+camera > +sl & +dn,TILT+backward > TURN+sl
LEAN+forward > TWIST+sl,CA:BOY,null,null,null,+camera > +sl & +dn,TURN+sl
null,null,null,WD > //,null,+camera > +sl & +dn,TURN+sr > TURN+sl
LEAN+forward,null,null,// > //,null,+camera > +sl,TILT+sl > PUSH+forward
null,null,null,null,null,+camera > +sl,null
LEAN+sl,null,null,null,null,+camera > +sl,TILT+sr
null,CD:HELEN,null,//,null,+camera > +sl,TURN+sr
LEAN+sl,null,null,null,null,+camera > +sl,TURN+sr > Headnod
LEAN+forward > LEAN+sl,null,null,//,null,+camera > +sl,TURN+sl
LEAN+sr,null,null,SQ,null,+camera > +sl,TILT+backward > TURN+sl
null,null,null,SQ+,null,+camera > +interlocutor1,TURN+sr
LEAN+sr,null,null,null,null,+camera > +hands,TILT+forward
null,null,null,null,null,+camera > +dn > +sr & +dn,TURN+sl
LEAN+forward,null,null,null,null,+camera > +dn > +camera,TILT+forward > PUSH+forward
LEAN+backward,null,2 x Puffed,WD,null,+camera > +dn,PUSH+backward > TILT+forward
TWIST+sr,null,null,//,null,+camera > +dn,TILT+forward
null,CA:FATHER,null,//,null,+camera > +dn,TURN+sr
null,null,null,SQ,null,+camera > +dn,Headnod
LEAN+forward > SHOULDERS+hunched,CA:WOMAN,null,//,null,+camera > +dn,TURN+sr > TILT+forward > TILT+backward
SHOULDERS+hunched,null,null,SQ > //,null,+camera > +dn,Headnod
LEAN+sl,null,null,SQ,null,+camera > +dn,TILT+backward > TILT+forward
LEAN+forward,null,null,WD,null,+camera > +dn,TILT+forward
LEAN+sr,null,null,WD,null,+camera > +dh,TURN+sr > TILT+backward
LEAN+forward,CA:BOY,null,null,null,+camera,Headshake
LEAN+sr,null,null,null,null,+camera,Headshake
LEAN+sr,CA:BOY,null,// > SQ,null,+camera,Headshake
LEAN+sr,null,null,SQ,null,+camera,TILT+backward
SHOULDERS+hunched,null,null,null,null,+camera,TILT+backward
null,null,null,null,null,+camera,TILT+backward
LEAN+forward,CA:BOY,null,SQ,null,+camera,TILT+backward
LEAN+backward,CA:BOY,null,CLOSED,null,+camera,TURN+sl
LEAN+backward,CA:DOG,null,CLOSED,null,+camera,TURN+sl
LEAN+sl,CA:BOY,null,CLOSED,null,+camera,TILT+sl
LEAN+forward,null,null,null,null,+camera,TILT+backward
LEAN+forward,null,null,null,null,+camera,TILT+backward
LEAN+sr,null,null,null,null,+camera,TURN+sr
TWIST+sl,CA:DOG ,null,//,null,+camera,TILT+backward
null,null,null,null,null,+camera,TURN+sr
LEAN+backward,null,null,null,null,+camera,TILT+backward
LEAN+sr,null,null,WD,null,+camera,TURN+sl
TWIST+sr,null,null,null,null,+camera,TURN+sr
LEAN+forward,null,null,null,null,+camera,PUSH+forward
LEAN+sr,null,null,null,null,+camera,Headnod
LEAN+sl,null,null,null,null,+camera,TILT+backward
LEAN+sl,null,null,null,null,+camera,TILT+backward
null,null,null,null,null,+camera,TILT+backward
null,CA:MOTHER,null,WD,null,+camera,null
null,null,null,null,null,+camera,PUSH+forward
null,null,null,//,null,+camera,PUSH+forward
null,null,null,//,null,+camera,TILT+backward > PUSH+forward
LEAN+forward,null,null,//,null,+camera,TILT+forward
null,null,null,null,null,+camera,Headnod
LEAN+forward,null,null,//,null,+camera,PUSH+forward
null,null,null,null,null,+camera,TILT+sl
null,null,null,//,null,+camera,TILT+forward
LEAN+sr,null,null,//,null,+camera,TILT+forward
LEAN+sr,null,null,null,null,+camera,TILT+sl
LEAN+sr,null,null,null,null,+camera,TILT+sl
LEAN+sl,null,null,// > //,null,+camera,TILT+sl > TILT+sr
LEAN+sl,null,null,null,null,+camera,TILT+sr
LEAN+sl,null,null,null,null,+camera,null
LEAN+forward,null,null,null,null,+camera,TURN+sr
LEAN+forward,CD:HELEN,null,//,null,+camera,PUSH+forward
LEAN+sl,null,null,//,null,+camera,Headnod & TILT+forward
LEAN+sl,null,null,//,null,+camera,TILT+forward
LEAN+sl,null,null,null,null,+camera,null
null,null,null,SQ > //,null,+camera,TILT+forward
LEAN+forward,null,null,SQ,null,+camera,Headnod
null,null,null,CLOSED > SQ,null,+camera,Headnod
LEAN+sl,null,null,SQ+,null,+camera,null
LEAN+sl,null,null,SQ+,null,+camera,null
null,null,null,//,null,+camera,null
LEAN+sl,null,null,null,null,+camera,TILT+sr
LEAN+backward,null,null,//,null,+camera,TILT+backward
null,null,null,CLOSED,null,+camera,null
null,null,null,CLOSED,null,+camera,null
LEAN+forward,null,null,CLOSED,null,+camera,TURN+sl
null,null,null,null,null,+camera,null
LEAN+forward,CA:DOG ,null,WD,null,+camera,TILT+backward
LEAN+forward,CA:DOG ,null,WD,null,+camera,TILT+backward
LEAN+forward,null,null,//,null,+camera,null
null,null,null,//,null,+camera,null
LEAN+forward > LEAN+backward,CA:BOY ,null,CLOSED,null,+camera,null
LEAN+sr,null,null,null,null,+camera,null
LEAN+sr,null,null,null,null,+camera,null
TWIST+sr,null,null,CLOSED,null,+camera,TURN+sr
LEAN+sl,null,null,null,null,+camera,TURN+sl
null,null,null,SQ+ > //,null,+camera,TILT+sl
null,null,null,SQ+,null,+camera,TILT+forward
null,null,null,SQ+,null,+camera,TILT+sl
null,null,null,SQ,null,+camera,Headnod
null,null,null,SQ,null,+camera,Headnod
null,null,null,CLOSED,null,+camera,TILT+sr
null,null,null,null,null,+camera,null
null,null,null,null,null,+camera,null
null,null,null,null,null,+camera,null
null,null,null,SQ,null,+camera,TILT+forward
null,null,null,SQ,null,+camera,TILT+backward
null,null,null,//,null,+camera,null
LEAN+forward,null,null,SQ,null,+camera,null
LEAN+forward,null,null,SQ,null,+camera,TILT+forward
null,null,null,null,null,+camera,TILT+backward
null,null,null,SQ,null,+camera,TILT+backward
null,null,null,null,null,+camera,TILT+backward
null,null,null,SQ,null,+camera,null
null,null,null,SQ,null,+camera,TURN+sr
SHOULDERS+hunched,null,null,SQ,null,+camera,TURN+sr
SHOULDERS+hunched,null,null,CLOSED,null,+camera,TURN+sr > Headnod
null,null,null,CLOSED,null,+camera,TURN+sl
null,null,null,CLOSED,null,+camera,TURN+sl
null,null,null,CLOSED,null,+camera,TURN+sl
null,null,null,CLOSED > SQ,null,+camera,TILT+forward
null,null,null,SQ,null,+camera,TILT+forward
null,null,null,SQ > //,null,+camera,Headnod
SHOULDERS+hunched,null,null,SQ,null,+camera,PUSH+forward
SHOULDERS+hunched,null,null,SQ,null,+camera,null
null,null,null,CLOSED,null,+camera,null
null,null,null,//,null,+camera,TILT+forward
null,CA:WOMAN,null,null,null,+camera,null
null,null,null,//,null,+camera,TILT+forward
null,null,null,// > SQ,null,+camera,null
null,null,null,SQ > //,null,+camera,null
LEAN+sr,null,null,null,null,+camera,TILT+sl
LEAN+sr,null,null,CLOSED,null,+camera,TILT+sl
null,CA:WOMAN ,null,// > SQ,null,+camera,Headnod & TURN+sl
null,null,null,SQ > // > SQ,null,+camera,null
null,null,null,//,null,+camera,Headnod
null,null,null,//,null,+camera,Headnod
null,null,null,//,null,+camera,TILT+backward
null,null,null,null,null,+camera,TILT+backward
LEAN+forward,null,null,//,null,+camera,TILT+forward
LEAN+forward,null,null,//,null,+camera,TILT+forward
null,null,null,// > SQ,null,+camera,Headnod
null,null,null,SQ > //,null,+camera,TILT+backward
LEAN+forward,null,null,// > SQ,null,+camera,TILT+backward
LEAN+forward,null,null,//,null,+camera,TILT+forward
LEAN+forward,null,null,//,null,+camera,TILT+forward
null,null,null,//,null,+camera,Headshake
null,null,null,//,null,+camera,null
null,null,null,null,null,+camera,null
null,null,null,//,null,+camera,null
TWIST+sr,null,null,null,null,+camera,null
null,null,null,null,null,+camera,null
null,null,null,null,null,+camera,null
null,null,null,null,null,+camera,null
null,null,null,null,null,+camera,Headshake
null,null,null,// > SQ,null,+camera,PUSH+backward
LEAN+forward,null,null,SQ > //,null,+camera,TILT+forward
null,null,null,CLOSED,null,+camera,Headnod
null,null,null,WD,null,+camera,Headnod
null,null,null,WD > //,null,+camera,null
null,null,null,//,null,+camera,null
null,null,null,CLOSED,null,+camera,null
null,null,null,WD,null,+camera,null
LEAN+backward,null,null,WD,null,+camera,null
TWIST+sr,null,null,WD,null,+camera,TURN+sr
TWIST+sr,null,null,WD,null,+camera,null
null,null,null,WD > //,null,+camera,null
null,null,null,CLOSED,null,+camera,null
SHOULDERS+hunched,null,null,//,null,+camera,TURN+sr
null,null,null,null,null,+camera,null
null,null,null,null,null,+camera,TURN+sl > TURN+sr
TWIST+sr,null,null,//,null,+camera,null
null,null,null,//,null,+camera,null
null,null,null,//,null,+camera,TURN+sr
null,null,null,null,null,+camera,TURN+sr > TILT+forward
TWIST+sr,null,null,SQ > //,null,+camera,TILT+sr & TURN+sr
TWIST+sr,null,null,//,null,+camera,TURN+sr
null,null,null,//,null,+camera,null
SHOULDERS+hunched,null,null,SQ,null,+camera,Headnod
null,null,null,//,null,+camera,Headnod > TILT+backward
null,null,null,null,null,+camera,TILT+sl
LEAN+sl,null,null,SQ,null,+camera,TILT+sl
LEAN+sl,null,null,null,null,+camera,TILT+forward
null,null,null,WD,null,+camera,null
null,null,null,WD,null,+camera,TILT+forward
LEAN+backward > LEAN+sl,null,null,CLOSED,null,+camera,TILT+backward > TILT+sr
LEAN+sl,CA:BOY,2 x Puffed,CLOSED,null,+camera,TILT+sr
LEAN+forward,null,null,null,null,+camera,TILT+backward
LEAN+sl,null,null,WD,null,+camera,TILT+forward
LEAN+sl,null,null,WD,null,+camera,TILT+forward
LEAN+forward,null,null,WD,null,+camera,null
LEAN+backward,null,null,//,null,+camera,TURN+sr > TILT+sl
SHOULDERS+hunched > LEAN+sl,CA:BOY,null,null,null,+camera,TILT+forward > PUSH+forward
LEAN+forward,CA:BOY,null,null,null,+camera,TILT+forward
null,null,null,WD,null,+camera,TURN+sr > TURN+sl
LEAN+sl > LEAN+forward,null,null,null,null,+camera,TURN+sl
TWIST+sl,null,null,SQ,null,+camera,TILT+backward
LEAN+backward,null,null,SQ+,null,+camera,TILT+backward
LEAN+sr,null,null,SQ,null,+camera,TILT+sr
LEAN+sr,null,null,SQ,null,+camera,TILT+sr
LEAN+sl,null,null,SQ,null,+camera,null
LEAN+sl,null,null,SQ,null,+camera,null
LEAN+backward,null,null,//,null,+camera,TILT+forward
LEAN+sr,null,null,WD,null,+camera,TILT+backward
LEAN+sr,null,null,WD,null,+camera,TILT+backward & TURN+sl
LEAN+sr,null,null,null,null,+camera,TURN+sl
TWIST+sr,null,null,null,null,+camera,TILT+backward
TWIST+sr,null,null,null,null,+camera,TILT+backward
null,CA:WOMAN,null,// > SQ+ > // > WD,Furrowed > Raised,+sr > +sl > +camera,Headnod > Headnod > TILT+backward
LEAN+sr,null,null,SQ+,Furrowed > raised,+sr > +dn,TILT+backward
LEAN+sr,null,null,SQ > //,Furrowed > Raised,+sr & +dn,TURN+sr
LEAN+backward,CD:BOY,null,// > WD+,Furrowed > Raised,+sr & +dn,TILT+backward
LEAN+sl > LEAN+forward,CA:WOMAN ,null,// > WD,Furrowed > Raised,+sr,TURN+sr > PUSH+forward
LEAN+sr,null,null,CLOSED,Furrowed > Raised,+sr,PUSH+forward
null,null,null,null,Furrowed > Raised,+sr,TURN+sr
null,CA:WOMAN,null,SQ > WD,Furrowed > Raised,+sr,TURN+sr
SHOULDERS+hunched > LEAN+sl > LEAN+forward,null,null,SQ > // > SQ+,Furrowed > Raised,+sl > +hands,TURN+sl > TILT+forward
LEAN+backward,CA:MAN,null,CLOSED > SQ,Furrowed > Raised,+sl,Headnod
null,null,null,WD,Furrowed > Raised,+sl,TILT+sr > TILT+backward
LEAN+backward,CA:PEOPLE IN CAR,null,null,Furrowed > Raised,+sl,TURN+sl
LEAN+sl,null,null,null,Furrowed > Raised,+sl,null
null,null,null,SQ,Furrowed > Raised,+hands,TILT+forward > TILT+backward
LEAN+sr & LEAN+forward,CA:WOMAN,null,SQ+ > // > SQ > // > SQ > //,Furrowed > Raised,+dn > +sr,Headnod > TILT+backward > TURN+sl
LEAN+forward,null,null,SQ > WD,Furrowed > Raised,+dn,TURN+sl
LEAN+forward,null,null,null,Furrowed > Raised,+camera,null
LEAN+forward,null,null,SQ > //,Furrowed > Raised,+camera,TILT+backward
LEAN+sr,CA:DOG & CA:BOY ,null,CLOSED,Furrowed,null,TILT+backward
LEAN+sl,CA:DOG & CA:BOY ,null,CLOSED,Furrowed,null,TILT+sl
LEAN+sl,CA:BOY ,null,CLOSED > WD,Furrowed,null,TILT+sl
null,CA:BOY,null,SQ+,Furrowed,null,TILT+sl
null,CA:MAN,null,null,Furrowed,null,TURN+sr
null,null,null,SQ+,Furrowed,null,TILT+forward
SHOULDERS+hunched,null,null,SQ,Furrowed,null,PUSH+forward
null,null,null,CLOSED,Furrowed,null,TILT+sl
null,null,null,null,Furrowed,null,null
LEAN+sl,CA:FRIEND,null,SQ,Furrowed,null,null
null,null,null,SQ,Furrowed,null,TILT+sr
LEAN+backward,CA:BOY,null,SQ+,Furrowed,null,PUSH+backward
null,null,null,null,Furrowed,null,TILT+forward
null,CA:BOY,null,null,Furrowed,null,PUSH+forward & TURN+sr
LEAN+sr,null,null,SQ+,Furrowed,null,PUSH+forward
TWIST+sr,null,null,SQ+,Furrowed,null,TURN+sr
TWIST+sr,null,null,SQ+,Furrowed,null,TURN+sr
TWIST+sr,null,null,SQ+,Furrowed,null,Headshake
null,null,null,CLOSED,Furrowed,null,null
LEAN+sr,CD:BOY ,null,SQ+,Furrowed,+up > +sr,TILT+sr
null,CA:ENGLISH MAN,null,//,Furrowed,+up,null
SHOULDERS+hunched,CA:HELEN,null,SQ > //,Furrowed,+up,PUSH+backward > TURN+sr
SHOULDERS+hunched,CA:BOY,null,SQ,Furrowed,+up,null
SHOULDERS+hunched > LEAN+sr,CA:BOY,null,SQ,Furrowed,+up,TILT+sr
LEAN+sr,null,null,null,Furrowed,+up,TILT+sr
LEAN+sr,null,null,null,Furrowed,+up,TILT+sr
LEAN+sr,null,null,null,Furrowed,+up,TILT+sr
LEAN+sr,null,null,null,Furrowed,+up,TILT+sr
LEAN+sr,null,null,null,Furrowed,+up,TILT+sr
TWIST+sr > LEAN+forward,null,null,SQ > //,Furrowed,+sr > +sr & +up,TURN+sr
LEAN+forward,CA:BOY,null,SQ+,Furrowed,+sr > +sr & +dn,TURN+sr > TILT+forward
null,CA:WOMAN,null,SQ,Furrowed,+sr > +sr & +dn,null
null,null,null,// > // > //,Furrowed,+sr > +sl & +up,TILT+sl
SHOULDERS+hunched,null,null,null,Furrowed,+sr > +sl,TURN+sr
null,CA:WOMAN,null,WD,Furrowed,+sr > +sl,TURN+sr > PUSH+backward
LEAN+sr,null,null,null,Furrowed,+sr > +sl,TURN+sr
null,null,null,null,Furrowed,+sr > +sl,TURN+sr
LEAN+sr,null,null,//,Furrowed,+sr > +interlocutor1,TURN+sr
null,null,null,null,Furrowed,+sr > +interlocutor1,TURN+sr
null,null,null,//,Furrowed,+sr > +interlocutor1,TURN+sr & Headnod
LEAN+forward,null,null,SQ > WD,Furrowed,+sr > +interlocutor1,PUSH+forward
null,null,null,SQ,Furrowed,+sr > +interlocutor1,TURN+sr
LEAN+backward,CA:BOY,null,CLOSED > SQ+ > //,Furrowed,+sr > +interlocutor1,TILT+backward
LEAN+backward,CA:BIRD,null,SQ,Furrowed,+sr > +interlocutor1,TURN+sr
null,CA:BOY,null,// > SQ > //,Furrowed,+sr > +interlocutor1,null
LEAN+backward,CA:WOMAN ,null,SQ > // > SQ,Furrowed,+sr > +hands > +sr & +up,TURN+sr > TILT+sr
TWIST+sl,null,null,//,Furrowed,+sr > +hands,TURN+sr > TILT+forward
LEAN+sl > LEAN+forward,CA:BOY ,null,WD,Furrowed,+sr > +dn,TURN+sl > TURN+sr
TWIST+sr,CA:BOY,null,null,Furrowed,+sr > +dn,TURN+sr > TILT+forward
LEAN+sr > LEAN+sl,CD:BOY ,null,null,Furrowed,+sr > +camera > +up,PUSH+forward & TURN+sl
LEAN+sr,CA:BOY  ,null,SQ,Furrowed,+sr > +camera,TURN+sr > Headshake
null,null,null,SQ,Furrowed,+sr > +camera,Headnod
null,null,null,//,Furrowed,+sr > +camera,null
TWIST+sr,null,null,SQ+ > // > SQ,Furrowed,+sr > +camera,TURN+sr > Headnod
LEAN+sr,null,null,SQ+,Furrowed,+sr & +up > +sr & +dn,Headshake
LEAN+sr > LEAN+forward,CA:BOY > CD:BOY,null,SQ,Furrowed,+sr & +up > +sr & +dn,TURN+sr > TILT+forward > PUSH+forward
LEAN+forward > LEAN+sl,CA:BOY,null,null,Furrowed,+sr & +up > +sl & +up,TURN+sr > TURN+sl
LEAN+sl,null,2 x Puffed,SQ > WD,Furrowed,+sr & +up > +sl & +dn,TILT+backward > TURN+sl
LEAN+forward,null,null,SQ+,Furrowed,+sr & +up > +sl,TURN+sr > TURN+sl
LEAN+sl,CA:BOY,null,//,Furrowed,+sr & +up > +interlocutor1,Headnod > TURN+sr
null,null,null,SQ,Furrowed,+sr & +up > +interlocutor1,TURN+sr > TILT+sr > TILT+sl > TILT+sr > TILT+sl > TILT+sr > TILT+sl
LEAN+sl,CA:WOMAN,null,SQ+,Furrowed,+sr & +up > +interlocutor1,TURN+sr
TWIST+sr,CA:BOY,null,null,Furrowed,+sr & +up,TURN+sr > TILT+backward
LEAN+sl,CD:BOY ,null,null,Furrowed,+sr & +up,TILT+backward > TURN+sl
LEAN+sr,CD:BOY ,null,null,Furrowed,+sr & +up,TURN+sl > TURN+sr
LEAN+sr > LEAN+sl,CD:BOY ,null,null,Furrowed,+sr & +up,TURN+sl
TWIST+sr,null,null,SQ+,Furrowed,+sr & +up,TILT+sl
LEAN+backward,CA:WOMAN ,null,SQ,Furrowed,+sr & +up,TURN+sr
null,null,null,SQ,Furrowed,+sr & +up,TURN+sr
null,null,null,SQ,Furrowed,+sr & +up,TURN+sr
null,null,null,SQ,Furrowed,+sr & +up,TURN+sr
null,null,null,SQ > //,Furrowed,+sr & +up,TURN+sr
null,null,null,// > SQ,Furrowed,+sr & +up,TILT+backward
LEAN+sl,null,null,SQ > //,Furrowed,+sr & +up,TILT+backward > Headnod
null,CA:DOG,null,//,Furrowed,+sr & +up,TILT+backward
LEAN+sl,null,null,SQ,Furrowed,+sr & +up,TILT+backward
LEAN+sr,CA:DOG ,null,SQ+ > // > SQ+,Furrowed,+sr & +up,PUSH+forward
LEAN+sr,null,null,CLOSED > SQ+,Furrowed,+sr & +up,TURN+sr > Headshake
LEAN+forward,null,null,SQ,Furrowed,+sr & +up,TURN+sr
LEAN+backward,CA:BOY,null,null,Furrowed,+sr & +up,PUSH+backward
null,null,null,// > SQ,Furrowed,+sr & +up,Headnod
LEAN+forward,null,null,null,Furrowed,+sr & +up,null
LEAN+forward,null,null,SQ+,Furrowed,+sr & +up,TURN+sr
LEAN+sl,CA:WOMAN,null,SQ+,Furrowed,+sr & +up,TURN+sr
LEAN+forward,CA:BOY,null,null,Furrowed,+sr & +up,TURN+sr
LEAN+forward,null,null,null,Furrowed,+sr & +up,TURN+sr
SHOULDERS+hunched,CA:DEER,null,//,Furrowed,+sr & +up,TILT+backward
LEAN+backward > LEAN+sl,null,null,SQ,Furrowed,+sr & +up,TILT+backward
LEAN+sl,CA:BOY,null,SQ,Furrowed,+sr & +up,TILT+backward
LEAN+forward,CA:BOY,null,WD,Furrowed,+sr & +up,PUSH+forward
LEAN+sl,null,null,null,Furrowed,+sr & +dn > +up,TILT+forward
TWIST+sr,CA:WOMAN,null,SQ,Furrowed,+sr & +dn > +sr,TURN+sr
LEAN+backward,null,null,SQ,Furrowed,+sr & +dn > +sr,TILT+forward
TWIST+sr,null,null,SQ+,Furrowed,+sr & +dn > +sr,TURN+sr
SHOULDERS+hunched,null,null,SQ,Furrowed,+sr & +dn > +sl & +up,TURN+sr > TURN+sl
LEAN+sr > LEAN+sl,CA:BOY ,null,WD,Furrowed,+sr & +dn > +sl & +dn > +sr & +dn,TURN+sr > TURN+sl
LEAN+sl,CA:WOMAN,null,SQ+,Furrowed,+sr & +dn > +sl & +dn > +nd,TURN+sr > TILT+forward
LEAN+forward,CA:BOY,null,SQ,Furrowed,+sr & +dn > +sl & +dn,PUSH+forward
LEAN+sl,null,null,WD,Furrowed,+sr & +dn > +sl & +dn,Headnod & TURN+sl
TWIST+sr,null,null,SQ,Furrowed,+sr & +dn > +sl & +dn,TURN+sr > TILT+forward > TURN+sl
LEAN+forward,null,null,null,Furrowed,+sr & +dn > +sl & +dn,TILT+forward
null,CA:WOMAN ,null,null,Furrowed,+sr & +dn > +sl,PUSH+forward
LEAN+sr,null,null,null,Furrowed,+sr & +dn > +sl,TURN+sr
LEAN+forward,CA:BOY,null,SQ,Furrowed,+sr & +dn > +sl,TURN+sr > TURN+sl
LEAN+sr,null,null,SQ,Furrowed,+sr & +dn > +sl,TURN+sr > TURN+sl
null,CA:BOY,null,SQ,Furrowed,+sr & +dn > +interlocutor1,TURN+sr > PUSH+forward
TWIST+sr,null,null,SQ,Furrowed,+sr & +dn > +interlocutor1,TURN+sr
LEAN+sl,CA:INSPECTOR,null,SQ+,Furrowed,+sr & +dn > +interlocutor1,TURN+sr
TWIST+sr,null,null,null,Furrowed,+sr & +dn > +dn,TURN+sr > TURN+sl
LEAN+forward,null,null,SQ+,Furrowed,+sr & +dn > +camera,TILT+forward
TWIST+sr,CD:BOY,null,SQ > WD,Furrowed,+sr & +dn > +camera,TURN+sr
null,null,null,null,Furrowed,+sr & +dn > +camera,TILT+forward > TILT+sl
LEAN+backward,null,null,// > SQ+,Furrowed,+sr & +dn > +camera,Headnod
LEAN+sl,CA:WOMAN,null,SQ+ > // > SQ+ > //,Furrowed,+sr & +dn > +camera,TURN+sr
TWIST+sr,CA:WOMAN,null,// > SQ,Furrowed,+sr & +dn > +camera,TILT+forward > Headnod > TURN+sr
null,null,null,//,Furrowed,+sr & +dn > +camera,PUSH+backward
null,null,null,// > SQ,Furrowed,+sr & +dn > +camera,null
LEAN+sr,null,null,SQ,Furrowed,+sr & +dn > +camera,TURN+sr > TILT+backward
LEAN+sl,CA:MAN,null,null,Furrowed,+sr & +dn,TILT+forward
LEAN+sl,CA:FRIEND,null,SQ,Furrowed,+sr & +dn,TILT+forward
null,null,null,null,Furrowed,+sr & +dn,TILT+forward
LEAN+forward,CA:MAN2,null,null,Furrowed,+sr & +dn,TILT+forward > TURN+sr
