,,,,,,,,,,,,,,,,
,"Cite: Smith, R. G., & Hofmann, M. (2020). A Lexical Frequency Analysis of Irish Sign Language. TEANGA, the Journal of the Irish Association for Applied Linguistics, 11, 18–47. https://doi.org/10.35903/teanga.v11i1.162",,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,"Sign frequency list for the entire SOI corpus. This list has not been processed for alternates, ",,,,,,,,,,,,,,,
,"e.g., row 1: Index+me, 5: INDEX-Me, 10: INDEX+ME*, 17: INDEX-Me*",,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,Lexical Gloss,Freq,% of unique glosses,% of all glosses,per 1000 words,,,,,,,,,,,
73,HAPPY,20,0.50%,0.18%,1.8,,,,,,,,,,,
74,INDEX+fr+hi,20,0.50%,0.18%,1.8,,,,,,,,,,,
75,LEAVE,20,0.50%,0.18%,1.8,,,,,,,,,,,
76,ME,20,0.50%,0.18%,1.8,,,,,,,,,,,
77,PLAY,20,0.50%,0.18%,1.8,,,,,,,,,,,
78,CL-ISL-L BENT +me,19,0.47%,0.17%,1.7,,,,,,,,,,,
79,INDEX +me,19,0.47%,0.17%,1.7,,,,,,,,,,,
80,JOB,19,0.47%,0.17%,1.7,,,,,,,,,,,
81,LOT,19,0.47%,0.17%,1.7,,,,,,,,,,,
82,NO,19,0.47%,0.17%,1.7,,,,,,,,,,,
83,AGAIN,18,0.45%,0.16%,1.6,,,,,,,,,,,
84,ALL,18,0.45%,0.16%,1.6,,,,,,,,,,,
85,BECAUSE,18,0.45%,0.16%,1.6,,,,,,,,,,,
86,LIVE,18,0.45%,0.16%,1.6,,,,,,,,,,,
87,WATER,18,0.45%,0.16%,1.6,,,,,,,,,,,
88,FIND,17,0.42%,0.15%,1.5,,,,,,,,,,,
89,FROM,17,0.42%,0.15%,1.5,,,,,,,,,,,
90,JASON,17,0.42%,0.15%,1.5,,,,,,,,,,,
91,JUST,17,0.42%,0.15%,1.5,,,,,,,,,,,
92,LOOK-AT,17,0.42%,0.15%,1.5,,,,,,,,,,,
93,MAKE,17,0.42%,0.15%,1.5,,,,,,,,,,,
94,OOPS,17,0.42%,0.15%,1.5,,,,,,,,,,,
95,OUT,17,0.42%,0.15%,1.5,,,,,,,,,,,
96,YEAR,17,0.42%,0.15%,1.5,,,,,,,,,,,
97,*IRAQ,16,0.40%,0.14%,1.4,,,,,,,,,,,
98,AMERICA,16,0.40%,0.14%,1.4,,,,,,,,,,,
99,BACK,16,0.40%,0.14%,1.4,,,,,,,,,,,
100,BEE,16,0.40%,0.14%,1.4,,,,,,,,,,,
101,DISAPPEAR,16,0.40%,0.14%,1.4,,,,,,,,,,,
102,DO,16,0.40%,0.14%,1.4,,,,,,,,,,,
103,FIVE,16,0.40%,0.14%,1.4,,,,,,,,,,,
104,GO,16,0.40%,0.14%,1.4,,,,,,,,,,,
105,MORNING,16,0.40%,0.14%,1.4,,,,,,,,,,,
106,NEVER,16,0.40%,0.14%,1.4,,,,,,,,,,,
107,NIGHT,16,0.40%,0.14%,1.4,,,,,,,,,,,
108,THERE,16,0.40%,0.14%,1.4,,,,,,,,,,,
109,BED,15,0.37%,0.13%,1.3,,,,,,,,,,,
110,CL-INDEX THUMB EXTENDED +c,15,0.37%,0.13%,1.3,,,,,,,,,,,
111,DIFFERENT,15,0.37%,0.13%,1.3,,,,,,,,,,,
112,HUSBAND,15,0.37%,0.13%,1.3,,,,,,,,,,,
113,INDEX-me,15,0.37%,0.13%,1.3,,,,,,,,,,,
114,MEAN,15,0.37%,0.13%,1.3,,,,,,,,,,,
115,THING,15,0.37%,0.13%,1.3,,,,,,,,,,,
