"Antecedent","Consequent","support","confidence","coverage","lift","count","conviction","cosine"
"{} "," {NMF_Head=0}",0.126798260287722,0.126798260287722,1,1,379,1,0.126798260287722
"{} "," {Function_word=1}",0.252258280361325,0.252258280361325,1,1,754,1,0.252258280361325
"{} "," {Content_word=0}",0.303445968551355,0.303445968551355,1,1,907,1,0.303445968551355
"{} "," {NMF_CA=1}",0.348946135831382,0.348946135831382,1,1,1043,1,0.348946135831382
"{} "," {ï..NMF_Body=0}",0.370023419203747,0.370023419203747,1,1,1106,1,0.370023419203747
"{} "," {NMF_EyeAp=0}",0.407159585145534,0.407159585145534,1,1,1217,1,0.407159585145534
"{} "," {NMF_Eyebrows=0}",0.475744396119103,0.475744396119103,1,1,1422,1,0.475744396119103
"{} "," {NMF_Eyebrows=1}",0.524255603880897,0.524255603880897,1,1,1567,1,0.524255603880897
"{} "," {NMF_EyeAp=1}",0.592840414854466,0.592840414854466,1,1,1772,1,0.592840414854466
"{} "," {ï..NMF_Body=1}",0.629976580796253,0.629976580796253,1,1,1883,1,0.629976580796253
"{} "," {NMF_CA=0}",0.651053864168618,0.651053864168618,1,1,1946,1,0.651053864168618
"{} "," {Content_word=1}",0.696554031448645,0.696554031448645,1,1,2082,1,0.696554031448645
"{} "," {Function_word=0}",0.747741719638675,0.747741719638675,1,1,2235,1,0.747741719638675
"{} "," {NMF_Head=1}",0.873201739712278,0.873201739712278,1,1,2610,1,0.873201739712278
"{} "," {NMF_Eyegaze=1}",0.968885915021746,0.968885915021746,1,1,2896,1,0.968885915021746
"{} "," {NMF_Cheeks=0}",0.972900635664102,0.972900635664102,1,1,2908,1,0.972900635664102
"{NMF_Eyegaze=0} "," {NMF_Cheeks=0}",0.030779524924724,0.989247311827957,0.0311140849782536,1.01680199967461,92,2.52024088323854,0.0316259883121348
"{NMF_Head=0} "," {Function_word=1}",0.0341251254600201,0.269129287598945,0.126798260287722,1.06687989473905,102,1.02308343589552,0.0989330746847721
"{Function_word=1} "," {NMF_Head=0}",0.0341251254600201,0.135278514588859,0.252258280361325,1.06687989473905,102,1.00980691985132,0.0989330746847721
"{NMF_Head=0} "," {Content_word=0}",0.0424891267982603,0.33509234828496,0.126798260287722,1.10428999892365,127,1.04759515047237,0.109577221742882
"{Content_word=0} "," {NMF_Head=0}",0.0424891267982603,0.140022050716648,0.303445968551355,1.10428999892365,127,1.015376894768,0.109577221742882
"{NMF_Head=0} "," {ï..NMF_Body=0}",0.0782870525259284,0.617414248021108,0.126798260287722,1.66858154370262,234,1.64662844221917,0.18705035971223
"{ï..NMF_Body=0} "," {NMF_Head=0}",0.0782870525259284,0.211573236889693,0.370023419203747,1.66858154370262,234,1.1075242249103,0.18705035971223
"{NMF_Head=0} "," {NMF_EyeAp=0}",0.053864168618267,0.424802110817942,0.126798260287722,1.04333073889468,161,1.0306720973846,0.11219512195122
"{NMF_EyeAp=0} "," {NMF_Head=0}",0.053864168618267,0.132292522596549,0.407159585145534,1.04333073889468,161,1.00633192919493,0.11219512195122
"{NMF_Head=0} "," {NMF_Eyebrows=0}",0.063231850117096,0.49868073878628,0.126798260287722,1.04821148258241,189,1.04575196774137,0.117245657568238
